feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_reconstruction_norm_ratio,resid_error_delta_norm,resid_change_explained_energy,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx,matched_feature
0,0.05814436823129654,0.06280464679002762,0.3286708891391754,,,,,,,,,,,,,1.757072925567627,0.024347564205527306,11.473499298095703,0.00044786452781409025,2.5,13.930487632751465,0.1794624900515123,1.1041667461395264,0.07926260547771019,0.34065598249435425,1.3725484609603882,0.611434280872345,-3.370434284210205,0.22336021065711975,0.22336021065711975,0.0,0.21908338367938995,0.0007634923094883561,5.48072923983841e-05,0.30757981538772583,,1.0,48,41
1,0.05767155811190605,0.06572248786687851,0.21062208712100983,,,,,,,,,,,,,1.0689258575439453,0.013643244281411171,11.469588279724121,0.0004315781407058239,1.5625,11.993671417236328,0.13027703897671664,0.4583333432674408,0.03821459892811599,0.24389728903770447,1.3456456661224365,0.4593847692012787,-4.541491508483887,0.20976436138153076,0.23097197711467743,0.125,0.15922923386096954,0.0005847224965691566,4.8752585904705974e-05,0.25806453824043274,,1.0,48,119
2,0.05796048790216446,0.07214562594890594,0.18344846367835999,,,,,,,,,,,,,0.9228387475013733,0.01429086085408926,11.46615982055664,0.0004858902539126575,1.0,12.680633544921875,0.07886041305971332,0.3541666865348816,0.02792973119213077,0.2148260772228241,1.1280875205993652,0.3647729754447937,-4.135330677032471,0.19682642817497253,0.23438315093517303,0.125,0.20600339770317078,0.0007295096293091774,5.752943069836007e-05,0.33813533186912537,,1.0,48,243
3,0.05693785101175308,0.06405316293239594,0.31548041105270386,,,,,,,,,,,,,1.6915582418441772,0.023093998432159424,11.473713874816895,0.00043726275907829404,2.1458334922790527,12.88349723815918,0.16655675481171495,1.0833333730697632,0.08408690219765848,0.32442015409469604,0.9385826587677002,0.47513601183891296,-1.7204840183258057,0.23108570277690887,0.23108570277690887,0.0,0.11447213590145111,0.0006895661354064941,5.3523210516850983e-05,0.31296294927597046,,1.0,48,416
4,0.056749820709228516,0.06571640074253082,0.4132951498031616,,,,,,,,,,,,,2.0635359287261963,0.031609270721673965,11.46917724609375,0.0004564363625831902,3.0416667461395264,15.476401329040527,0.19653578887662115,1.7291667461395264,0.11172925205664946,0.4154273271560669,1.0059828758239746,0.6304494142532349,-1.7822470664978027,0.2589109539985657,0.2589109539985657,0.0,0.18472442030906677,0.0009457825217396021,6.111126876464401e-05,0.33514297008514404,,1.0,48,418
5,0.05545245483517647,0.06652363389730453,0.2553071081638336,,,,,,,,,,,,,1.3168249130249023,0.017234357073903084,11.466888427734375,0.0004253364459145814,1.1875,12.155189514160156,0.09769489793965581,0.7291666865348816,0.05998809686065032,0.2689816653728485,1.0138920545578003,0.4278891682624817,-2.6988940238952637,0.2117617130279541,0.2117617130279541,0.0,0.1353396773338318,0.0006026544142514467,4.95800096784658e-05,0.2704220712184906,,1.0,48,421
6,0.05624009296298027,0.062030963599681854,0.19860988855361938,,,,,,,,,,,,,0.9836488962173462,0.015184806659817696,11.4669189453125,0.00046322453999891877,1.2916667461395264,11.993474960327148,0.10769745626978143,0.4583333432674408,0.03821522489531978,0.2285541296005249,1.1138471364974976,0.37828847765922546,-3.414543628692627,0.1803521364927292,0.1803521364927292,0.0,0.22707560658454895,0.0005260150646790862,4.385843685674845e-05,0.2528553903102875,,1.0,48,567
7,0.05723835155367851,0.06538782268762589,0.2891799807548523,,,,,,,,,,,,,1.4661691188812256,0.020888671278953552,11.468496322631836,0.00046414765529334545,1.2708333730697632,13.178609848022461,0.09643151946683853,0.625,0.047425335959811576,0.29784804582595825,0.7981788516044617,0.420005202293396,-1.6133930683135986,0.21239861845970154,0.21239861845970154,0.0,0.1705043762922287,0.0010111744049936533,7.672845739325852e-05,0.3365330100059509,,1.0,48,785
8,0.057799141854047775,0.07153742760419846,0.3098400831222534,,,,,,,,,,,,,1.5482138395309448,0.028768939897418022,11.468408584594727,0.0005020378739573061,1.7291667461395264,14.349416732788086,0.1205043227285592,0.625,0.04355577729764665,0.3189859986305237,0.834227442741394,0.45104092359542847,-1.6628973484039307,0.2265501320362091,0.22968965768814087,0.0416666679084301,0.26859721541404724,0.0006620659260079265,4.6138873647298315e-05,0.4290330111980438,,1.0,48,788
9,0.0545264296233654,0.06548644602298737,0.2659675180912018,,,,,,,,,,,,,1.5225603580474854,0.018336279317736626,11.476424217224121,0.0004011030832771212,1.8125,12.155393600463867,0.14911076169838916,0.8125,0.06684275524410549,0.28128132224082947,1.0869247913360596,0.44676870107650757,-2.529040813446045,0.21948055922985077,0.2213207483291626,0.02083333395421505,0.18234051764011383,0.0006416076794266701,5.278378471219126e-05,0.34479087591171265,,1.0,48,841
