feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_w2,collateral_w2_per_effect,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_reconstruction_norm_ratio,resid_error_delta_norm,resid_change_explained_energy,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx
44,0.43336573243141174,0.5008166432380676,1.0000276565551758,1.067093014717102,0.49500373005867004,0.01171875,0.008534087799489498,0.7282421588897705,0.10322104394435883,2.080242872238159,267.6252136230469,0.0637580007314682,0.3727366030216217,7.110733509063721,77.625,27.179431915283203,0.6644853949546814,10.530323028564453,0.0011902533005923033,17.08333396911621,6.116876125335693,2.7928199935960745,0.9760979413986206,0.15957458019460982,16.416667938232422,2.683832004280315,1.7743356227874756,0.6852577924728394,1.70807683467865,0.07389873266220093,0.31790098547935486,0.31790098547935486,0.0,0.1287953406572342,0.00043118942994624376,7.049177070226552e-05,0.3978114724159241,0.33239081501960754,1.0,48
118,0.2804017663002014,0.5612282752990723,1.0000311136245728,1.8700077533721924,0.4920121431350708,0.0068359375,0.025592569261789322,3.7438273429870605,0.5067821145057678,17.971506118774414,927.964599609375,0.04089350998401642,0.267069548368454,6.578729629516602,72.35713958740234,34.96543884277344,1.238674521446228,10.52341365814209,0.001648899633437395,8.666666984558105,2.9820773601531982,2.9062515517874954,1.8626788854599,0.6246246003215565,8.1875,2.7455692739385174,1.0765366554260254,0.6989893913269043,1.163188099861145,-0.1881401538848877,0.6894583702087402,0.6894583702087402,0.0,0.31996867060661316,8.653565600980073e-05,2.901858176984695e-05,0.40722712874412537,1.0919495820999146,1.0,48
184,0.38972362875938416,0.47933411598205566,1.0000523328781128,1.1600397825241089,0.4745551645755768,0.01025390625,0.006933215539902449,0.6761536002159119,0.08565939217805862,1.836074948310852,267.8517761230469,0.057165034115314484,0.3617624342441559,6.896483421325684,71.42857360839844,48.457366943359375,1.1940263509750366,10.518770217895508,0.001227367203682661,19.02083396911621,5.572226524353027,3.4135069441006953,0.7918667793273926,0.14210958123211578,18.33333396911621,3.290127179160858,1.581420660018921,1.0672309398651123,1.8475465774536133,-0.36956000328063965,0.4681245982646942,0.4681245982646942,0.0,0.14249038696289062,0.00022787577472627163,4.0894922939942806e-05,0.33509743213653564,0.2827608287334442,1.0,48
313,0.3799610435962677,0.476962685585022,1.0000174045562744,1.7661824226379395,0.37280380725860596,0.01318359375,0.04603758454322815,3.4920361042022705,0.5472549200057983,13.504107475280762,289.1271057128906,0.07016520947217941,0.3797548711299896,6.7042083740234375,65.74073791503906,42.71537399291992,0.9217960834503174,10.536617279052734,0.001139284111559391,12.5625,3.982621192932129,3.154329613559808,1.3807640075683594,0.3466972973859021,12.166666984558105,3.054939539718372,1.1938635110855103,0.8255794048309326,1.302009105682373,-0.19271492958068848,0.509456992149353,0.509456992149353,0.0,0.1454671025276184,0.00012323918053880334,3.094423854522515e-05,0.3395152688026428,1.757022500038147,1.0,48
371,0.48827263712882996,0.5287736058235168,1.000035047531128,1.3969169855117798,0.40873050689697266,0.015625,0.01653897948563099,1.0584946870803833,0.17908243834972382,3.7996299266815186,210.01455688476562,0.08048483729362488,0.3994578719139099,7.301706314086914,78.09375,32.720436096191406,0.6830572485923767,10.52725601196289,0.0011151210637763143,20.14583396911621,7.656787872314453,2.631107754160043,1.9179080724716187,0.2504846812984825,19.20833396911621,2.5086673764965286,2.280034065246582,0.6787006855010986,2.172903537750244,0.09599512815475464,0.3025674521923065,0.3025674521923065,0.0,0.1468953937292099,0.0004145562998019159,5.414232523790459e-05,0.46364495158195496,0.6165348887443542,1.0,48
381,0.33923593163490295,0.48509857058525085,1.0000195503234863,1.818986415863037,0.49285584688186646,0.00537109375,0.007267984561622143,1.3531665802001953,0.15058206021785736,4.50705099105835,767.0759887695312,0.03342986851930618,0.23946157097816467,6.697674751281738,89.54545593261719,33.72446823120117,0.7415478825569153,10.527358055114746,0.0011450211750343442,5.25,3.807950973510742,1.3786942171087928,0.0677042007446289,0.017779693341065276,5.2291669845581055,1.373223291791711,1.084722876548767,0.6659796237945557,1.1550722122192383,-0.14184999465942383,0.5558014512062073,0.5558014512062073,0.0,0.19175589084625244,4.64385339000728e-05,1.2195150121722095e-05,0.6043572425842285,0.3101006746292114,1.0,48
515,0.42699214816093445,0.5615936517715454,1.000053882598877,2.1813485622406006,0.35495153069496155,0.00537109375,0.02168244868516922,4.036877632141113,0.3779251277446747,11.244823455810547,522.7532958984375,0.03342986851930618,0.27045464515686035,5.885671615600586,48.09090805053711,45.2895622253418,1.25071382522583,10.502580642700195,0.0014350729761645198,15.645833969116211,4.287917613983154,3.6488186903605677,1.5941699743270874,0.37178185639821665,15.041666984558105,3.507918832308519,1.1580287218093872,1.5229737758636475,1.8541806936264038,-1.7003850936889648,0.6062581539154053,0.6062581539154053,0.0,0.1673957109451294,0.00012048048665747046,2.8097668197635083e-05,0.33811044692993164,0.9251177906990051,1.0,48
663,0.27301642298698425,0.3674142062664032,1.000069260597229,1.5044718980789185,0.5434137582778931,0.00537109375,0.007581080310046673,1.4114593267440796,0.12720905244350433,3.524163246154785,457.2146301269531,0.03342986851930618,0.28072765469551086,6.6058669090271,79.36363983154297,36.87675094604492,0.8068573474884033,10.536113739013672,0.0010167995933443308,8.895833969116211,3.348177433013916,2.6569183146722604,0.2501392960548401,0.07470909183047156,8.6875,2.5946952178794342,1.0815589427947998,0.8317054510116577,1.3515377044677734,-0.5738710165023804,0.5695128440856934,0.5695128440856934,0.0,0.20586176216602325,6.83203325024806e-05,2.0405230506833875e-05,0.43199726939201355,0.3234594166278839,1.0,48
690,0.3639298379421234,0.4409985840320587,1.0000405311584473,0.975370466709137,0.5243154168128967,0.03173828125,0.024079179391264915,0.7586793899536133,0.16963958740234375,2.3292698860168457,82.6238021850586,0.14073362946510315,0.5066663026809692,7.752468109130859,77.13845825195312,36.72452926635742,0.6859965920448303,10.537055969238281,0.0010071307187899947,12.8125,3.4821784496307373,3.67944955967555,0.33365845680236816,0.09581888483617537,12.166666984558105,3.493981461779619,1.1042101383209229,0.6333616971969604,1.018013834953308,0.14398592710494995,0.5539307594299316,0.5539307594299316,0.0,0.16825300455093384,7.00478776707314e-05,2.0116107914285223e-05,0.3942054510116577,0.534639835357666,1.0,48
724,0.359128475189209,0.4061748683452606,1.0000370740890503,1.4348695278167725,0.44563376903533936,0.01220703125,0.014289578422904015,1.1706023216247559,0.19807998836040497,5.842896461486816,526.550537109375,0.06591325998306274,0.3537919521331787,7.2152509689331055,92.87999725341797,35.504581451416016,0.9455775022506714,10.531397819519043,0.0012862817384302616,9.791666984558105,3.2431774139404297,3.0191585919037767,2.3152871131896973,0.7138946812156349,9.229166984558105,2.845717572042283,1.0793509483337402,0.6938517093658447,1.0652276277542114,0.015272021293640137,0.5985143184661865,0.5985143184661865,0.0,0.2006356120109558,9.213876910507679e-05,2.8410030368652807e-05,0.36339616775512695,0.5717887282371521,1.0,48
797,0.3505396544933319,0.41739365458488464,1.0000191926956177,1.0238592624664307,0.5606759786605835,0.041015625,0.029890649020671844,0.7287625074386597,0.18788956105709076,2.6021909713745117,73.5365982055664,0.1711585372686386,0.5396289229393005,7.935271739959717,79.77381134033203,37.84417724609375,0.7609484791755676,10.545713424682617,0.0010291952639818192,17.25,5.1964874267578125,3.319550024884233,0.755510687828064,0.145388725946664,16.541667938232422,3.1832402444049945,1.5869314670562744,0.6689108610153198,1.5969178676605225,-0.016065359115600586,0.4706994891166687,0.4734824597835541,0.0416666679084301,0.16703206300735474,0.0001809263339964673,3.481704443595281e-05,0.32194462418556213,0.5790449380874634,1.0,48
930,0.3549623489379883,0.45074763894081116,1.0000557899475098,1.6500766277313232,0.5023210644721985,0.0078125,0.030861487612128258,3.950270414352417,0.4109661877155304,7.531472682952881,234.12294006347656,0.04568839073181152,0.33414793014526367,6.409258842468262,109.75,39.682098388671875,1.4894165992736816,10.50783634185791,0.001837723539210856,9.0,3.9977545738220215,2.251263756014663,1.1695188283920288,0.29254392781507854,8.770833969116211,2.193940069410395,1.1588754653930664,0.5790881514549255,1.0238654613494873,0.2256830334663391,0.6313683390617371,0.6313683390617371,0.0,0.2707519829273224,0.00011302969505777583,2.82732950929956e-05,0.36369967460632324,1.3167568445205688,1.0,48
1007,0.4180774390697479,0.5360558032989502,1.000068187713623,1.3539671897888184,0.49428054690361023,0.00634765625,0.007592848036438227,1.1961655616760254,0.13107779622077942,3.5871522426605225,542.44482421875,0.03844451159238815,0.2832840085029602,6.383620262145996,63.846153259277344,34.47799301147461,1.45224130153656,10.527469635009766,0.001344775315374136,9.520833969116211,3.404799461364746,2.7962980049747173,0.18168489634990692,0.053361408763695016,9.354166984558105,2.747347402755756,1.1587961912155151,0.9027609825134277,1.411971092224121,-0.49602973461151123,0.5492289662361145,0.5492289662361145,0.0,0.33106935024261475,7.445207302225754e-05,2.1866801157724248e-05,0.5542842149734497,0.3239614963531494,1.0,48
1084,0.34752216935157776,0.5756407976150513,1.000037431716919,1.5241260528564453,0.5171998143196106,0.009765625,0.012529484927654266,1.2830193042755127,0.16469164192676544,3.6352312564849854,300.3460388183594,0.05492175742983818,0.3478226661682129,7.024276256561279,90.80000305175781,34.47602081298828,1.0120974779129028,10.527746200561523,0.0013091349974274635,8.9375,3.1947875022888184,2.797525646266525,0.9486405253410339,0.2969338404172634,8.666666984558105,2.7127522413373617,1.091727375984192,0.6602332592010498,1.2279136180877686,-0.2721691131591797,0.5841507315635681,0.5841507315635681,0.0,0.28473562002182007,5.2376301027834415e-05,1.6394298783993568e-05,0.4587833285331726,0.5185075998306274,1.0,48
1106,0.40768423676490784,0.621269941329956,1.0000256299972534,1.7296338081359863,0.4447963833808899,0.01171875,0.020167125388979912,1.7209280729293823,0.2399902194738388,5.43127965927124,272.9466857910156,0.0637580007314682,0.3760961890220642,7.174612045288086,88.91666412353516,35.418174743652344,0.8461934924125671,10.53268051147461,0.0011371267028152943,13.395833969116211,3.825418472290039,3.5017956940222033,0.7716001272201538,0.20170345565911654,12.9375,3.381982928114868,1.1644954681396484,0.9614683985710144,1.481080412864685,-0.6461383104324341,0.5405154228210449,0.5405154228210449,0.0,0.18552391231060028,0.00012165647785877809,3.1802135745930194e-05,0.3747832477092743,0.7771274447441101,1.0,48
