feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_sae_frac,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx
49,0.46061983704566956,0.5075934529304504,1.0000554323196411,1.3055983781814575,0.40569621324539185,0.009765625,0.01105227880179882,1.1317533254623413,0.14722712337970734,4.427458763122559,471.55023193359375,0.05492175742983818,0.35066285729408264,7.018289089202881,79.9000015258789,29.958751678466797,0.6648026704788208,10.534355163574219,0.0011657439172267914,17.916667938232422,7.5169501304626465,2.383502298597088,17.33333396911621,2.305899819105278,2.101482391357422,0.6379598379135132,0.29894763231277466,0.29894763231277466,0.0,0.13391461968421936,0.0005843054968863726,7.773172443184653e-05,0.40329843759536743,0.291699081659317,1.0,48
126,0.4339897334575653,0.5369232296943665,1.000056505203247,2.184908866882324,0.3063611388206482,0.0029296875,0.005290818866342306,1.805932879447937,0.13834528625011444,5.39556360244751,1207.5096435546875,0.020013848319649696,0.17618611454963684,5.941590309143066,80.0,49.57696533203125,1.3388164043426514,10.522846221923828,0.001355583779513836,15.229166984558105,4.0705671310424805,3.7412887337015857,14.4375,3.546803062018166,1.1452301740646362,1.2161693572998047,0.5549232959747314,0.5549232959747314,0.0,0.1756482720375061,0.00010939524509012699,2.687469369737767e-05,0.34261396527290344,0.07369119673967361,1.0,48
187,0.37359949946403503,0.4638161063194275,1.0000014305114746,1.4042932987213135,0.44264286756515503,0.00537109375,0.004660224542021751,0.8676490783691406,0.08417017757892609,2.871030330657959,722.3285522460938,0.03342986851930618,0.2678123116493225,5.837474346160889,59.3636360168457,45.44187927246094,1.2009357213974,10.53355598449707,0.0011760713532567024,13.916666984558105,4.698537349700928,2.9619147234883183,13.4375,2.859932564387511,1.2749836444854736,0.9229557514190674,0.578547477722168,0.578547477722168,0.0,0.17769315838813782,0.0001290390209760517,2.746365753794183e-05,0.44504937529563904,0.11763302236795425,1.0,48
327,0.35466328263282776,0.49386316537857056,1.000040054321289,1.218561053276062,0.49039578437805176,0.00341796875,0.0037941490299999714,1.1100596189498901,0.08357129991054535,2.6465017795562744,742.5338134765625,0.02282176911830902,0.21135888993740082,6.0325140953063965,65.71428680419922,44.58991622924805,1.2489393949508667,10.512411117553711,0.001454631914384663,11.208333969116211,3.7970919609069824,2.951820512906608,10.979166984558105,2.89146722509742,1.1120363473892212,0.8502802848815918,0.575903594493866,0.575903594493866,0.0,0.1411081701517105,8.127409819280729e-05,2.140430066364549e-05,0.3811379671096802,0.10341928154230118,1.0,48
372,0.4543975293636322,0.5332961678504944,1.0000320672988892,0.8855603933334351,0.5713434219360352,0.04638671875,0.03329674154520035,0.7178076505661011,0.19283418357372284,3.130570650100708,70.11788940429688,0.18773546814918518,0.5585079193115234,8.050586700439453,80.4000015258789,26.401182174682617,0.632702112197876,10.529497146606445,0.0012349756434559822,18.854167938232422,7.058271408081055,2.6712160558085114,18.33333396911621,2.5974254719295744,2.0042152404785156,0.5924235582351685,0.314001202583313,0.314001202583313,0.0,0.1438104212284088,0.00036371033638715744,5.152966142042184e-05,0.3543834388256073,0.4797610342502594,1.0,48
373,0.3490704596042633,0.43926873803138733,1.0000282526016235,1.3573598861694336,0.44097429513931274,0.00341796875,0.009073265828192234,2.654578447341919,0.17858168482780457,4.68440580368042,494.0245361328125,0.02282176911830902,0.23073846101760864,6.24688720703125,89.0,36.66676712036133,1.062821626663208,10.525739669799805,0.0012767112348228693,10.479166984558105,3.799755096435547,2.757853253966239,10.208333969116211,2.686576814339066,1.1219733953475952,0.8542152643203735,0.5649716854095459,0.5649716854095459,0.0,0.17150373756885529,0.0001135532365879044,2.9884356598556108e-05,0.41204604506492615,0.36292752623558044,1.0,48
503,0.36198779940605164,0.620281994342804,1.0000519752502441,2.5534989833831787,0.3798238933086395,0.0166015625,0.03937190771102905,2.3715784549713135,0.3560727536678314,5.792791366577148,136.58755493164062,0.08450048416852951,0.43790391087532043,6.887158393859863,92.05882263183594,39.83533477783203,1.0958515405654907,10.55136489868164,0.0011336449533700943,9.895833969116211,4.16021728515625,2.3786819935194137,9.5625,2.29855782079788,1.0920007228851318,0.8485886454582214,0.5437260866165161,0.5516514778137207,0.0625,0.40232980251312256,0.00010829953680513427,2.6032182725461878e-05,0.3441992402076721,0.9381978511810303,1.0,48
600,0.46968361735343933,0.7700208425521851,1.0000367164611816,1.3672953844070435,0.5377390384674072,0.02001953125,0.04966436326503754,2.4807956218719482,0.5283994674682617,10.255407333374023,197.70602416992188,0.09811511635780334,0.4083981215953827,7.367766380310059,67.95121765136719,36.732810974121094,2.247246026992798,10.501035690307617,0.0018656303873285651,8.729166984558105,3.0993270874023438,2.816471676021008,8.604166984558105,2.7761403408402954,1.0246186256408691,0.9933725595474243,0.6255223751068115,0.6255223751068115,0.0,0.19266735017299652,6.532185943797231e-05,2.1076142460962212e-05,0.2845779359340668,1.3796874284744263,1.0,48
638,0.4339107573032379,0.5022024512290955,1.0000234842300415,1.2410838603973389,0.45234590768814087,0.03466796875,0.03929031640291214,1.1333318948745728,0.28270795941352844,3.8433897495269775,94.42861938476562,0.15061156451702118,0.5058014392852783,7.799237251281738,84.32394409179688,29.78896713256836,0.9489341974258423,10.517671585083008,0.0015738510992377996,19.666667938232422,6.939332485198975,2.834086412754965,18.89583396911621,2.723004551545761,2.09462308883667,0.6499225497245789,0.30320343375205994,0.30320343375205994,0.0,0.16209298372268677,0.000406999490223825,5.865110088115974e-05,0.4166211485862732,0.6732608675956726,1.0,48
661,0.39056017994880676,0.6154675483703613,1.0000513792037964,1.4026907682418823,0.4828881621360779,0.0078125,0.016877515241503716,2.1603219509124756,0.27985724806785583,8.299736022949219,510.89141845703125,0.04568839073181152,0.29152441024780273,6.856884479522705,80.0,36.75946807861328,1.5279591083526611,10.525221824645996,0.0017769397236406803,12.5,3.621710777282715,3.4514075623853055,12.0625,3.33060829770182,1.113095760345459,0.9212822914123535,0.48647746443748474,0.48647746443748474,0.0,0.17243309319019318,8.827659621601924e-05,2.4374280940928227e-05,0.34277790784835815,0.1798074096441269,1.0,48
