feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_sae_frac,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx
126,0.3971406817436218,0.4564843773841858,0.9999999403953552,1.4469830989837646,0.5252593159675598,0.009765625,0.005864354781806469,0.6005099415779114,0.09392973780632019,3.054150104522705,642.8326416015625,0.05492175742983818,0.3156740665435791,6.554227352142334,73.30000305175781,169.51275634765625,8.603974342346191,10.203840255737305,0.0050710709765553474,23.625,33.106815338134766,0.7135992922173661,17.125,0.5172650954168209,1.6771793365478516,0.8553711771965027,0.7549130320549011,0.7549130320549011,0.0,0.4280370771884918,0.01261136308312416,0.0003809295140746506,0.4523172974586487,0.17769652605056763,1.0,48
223,0.5500428080558777,0.7056220769882202,1.0,0.7507638335227966,0.6549824476242065,0.00927734375,0.0028523108921945095,0.3074491024017334,0.03808970749378204,0.913124144077301,342.4960632324219,0.05265381559729576,0.3451736867427826,6.69476842880249,71.2631607055664,77.00659942626953,2.29451322555542,10.528626441955566,0.0012210661079734564,15.3125,37.08785629272461,0.4128709913836429,13.291666984558105,0.3583832636771096,1.2693884372711182,0.5834777355194092,0.8787866830825806,0.8787866830825806,0.0,0.28065887093544006,0.005945585202425718,0.00016031083473511338,0.27596190571784973,0.04345603659749031,1.0,48
284,0.3058057725429535,0.42315077781677246,1.0,0.7764350771903992,0.7006055116653442,0.02490234375,0.003333969507366419,0.13388176262378693,0.02642257697880268,0.3880637288093567,106.62073516845703,0.11654888093471527,0.476826012134552,7.183524131774902,79.66666412353516,97.29232025146484,3.1106767654418945,10.463662147521973,0.001798134413547814,25.041667938232422,39.59722900390625,0.6324096044558566,19.20833396911621,0.4850928826956651,1.7591280937194824,0.8440431356430054,0.8320783376693726,0.8320783376693726,0.0,0.4165535569190979,0.009154874831438065,0.00023119988593704223,0.3542298674583435,0.05880279839038849,1.0,48
486,0.39887735247612,0.5394905805587769,1.0,1.1521222591400146,0.664055585861206,0.02001953125,0.003707065712660551,0.1851724535226822,0.03404298797249794,0.7285072207450867,176.24208068847656,0.09811511635780334,0.4424766004085541,7.103082656860352,69.65853881835938,81.36784362792969,1.901536226272583,10.50585651397705,0.0012961442116647959,26.08333396911621,31.996566772460938,0.8151916468554966,18.75,0.5860003708359703,1.6031785011291504,0.8389616012573242,0.7920974493026733,0.7920974493026733,0.0,0.38921919465065,0.004903056193143129,0.00015323694652861198,0.42261889576911926,0.08688164502382278,1.0,48
506,0.5356070399284363,0.667957067489624,1.0,1.887632966041565,0.4374640882015228,0.00537109375,0.001227706205099821,0.22857657074928284,0.02719808928668499,1.0275568962097168,1081.100830078125,0.03342986851930618,0.23172138631343842,6.064304828643799,64.54545593261719,99.90543365478516,4.452057361602783,10.374926567077637,0.0031037195585668087,18.375,31.80933380126953,0.5776606359951504,14.583333969116211,0.458460842205679,1.2913975715637207,0.6677505373954773,0.7303754687309265,0.7303754687309265,0.0,0.3180321156978607,0.006534714251756668,0.00020543386071925608,0.4194464385509491,0.03275977075099945,1.0,48
507,0.38641127943992615,0.5125128030776978,0.9999999403953552,1.1743422746658325,0.5903093814849854,0.013671875,0.005005348939448595,0.3661055266857147,0.06584049761295319,1.9712475538253784,492.6988525390625,0.07226333767175674,0.36838147044181824,6.630892753601074,56.75,82.10780334472656,1.7331788539886475,10.52508544921875,0.0011053907219320536,21.89583396911621,46.28218078613281,0.47309425771366753,16.0,0.34570540378116554,1.7267931699752808,0.798424243927002,0.8441253900527954,0.8441253900527954,0.0,0.428155779838562,0.007486953400075436,0.00016176751551649055,0.354136198759079,0.04240421950817108,1.0,48
516,0.4385647475719452,0.5362486243247986,1.0,0.5958173274993896,0.7502241134643555,0.0302734375,0.003907819278538227,0.12908409535884857,0.028762327507138252,0.4344422221183777,103.82534790039062,0.13569138944149017,0.49854764342308044,7.308859825134277,70.48387145996094,76.70452880859375,2.3837056159973145,10.4574613571167,0.001972125843167305,13.583333969116211,23.362781524658203,0.5814091078566829,9.104166984558105,0.3896867747126883,1.3734196424484253,0.8362971544265747,0.7716273069381714,0.7716273069381714,0.0,0.49390682578086853,0.003886374644935131,0.00016634897001325697,0.47844985127449036,0.0710221454501152,1.0,48
668,0.4167118966579437,0.49322062730789185,0.9999999403953552,0.6549992561340332,0.7109930515289307,0.05126953125,0.006767600774765015,0.13200044631958008,0.039861228317022324,0.543915331363678,73.8601303100586,0.20223647356033325,0.5603039860725403,7.397939682006836,79.30476379394531,69.789794921875,1.659989356994629,10.529838562011719,0.0011265040375292301,15.333333969116211,19.77328109741211,0.7754572387770503,11.520833969116211,0.5826465474562829,1.0483893156051636,0.7573715448379517,0.7652906775474548,0.7652906775474548,0.0,0.13261477649211884,0.004826041869819164,0.00024406884439680064,0.212893545627594,0.09272653609514236,1.0,48
835,0.3513922691345215,0.4526571035385132,0.9999999403953552,1.6628966331481934,0.5084258913993835,0.0029296875,0.0004365040804259479,0.1489933878183365,0.009438314475119114,0.26083528995513916,551.720947265625,0.020013848319649696,0.2030934989452362,5.655332565307617,58.5,97.76055145263672,3.0646886825561523,10.505596160888672,0.0015609179390594363,23.041667938232422,35.95720672607422,0.6408080612979253,17.64583396911621,0.4907454046315826,1.5822749137878418,0.7015328407287598,0.7543529272079468,0.7543529272079468,0.0,0.3288913071155548,0.00797813106328249,0.00022187849912374858,0.4180220663547516,0.014486630447208881,1.0,48
849,0.41135159134864807,0.5396222472190857,1.0,1.0726418495178223,0.6123852729797363,0.00390625,0.0006402861326932907,0.16391324996948242,0.012274607084691525,0.30583155155181885,463.8414306640625,0.02555946074426174,0.23645325005054474,6.067176818847656,76.875,102.89286041259766,3.0132973194122314,10.51217269897461,0.0014800253557041287,24.58333396911621,42.630165100097656,0.5766652300226077,19.041667938232422,0.4466712218696542,1.7580509185791016,0.5746537446975708,0.824013888835907,0.824013888835907,0.0,0.21073488891124725,0.008211156353354454,0.00019261375911043579,0.2395753711462021,0.018403219059109688,1.0,48
