feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,discovery_selectivity,predicted_collateral,predicted_residual_collateral
8000,0.20172434,0.38794482,1.0,0.86926097,0.8948834,0.014160156,0.066375524,4.687485,0.5832261,8.726132,103.231674,0.074343786,0.43531692,7.3444686,91.24138,57.824417,0.6028525,12.158259,0.0002486079,1.9315612,4.4306383605355375,0.049799375030699214
4800,0.17667525,0.24439159,1.0,0.92141795,0.8160146,0.0048828125,0.026536556,5.4346867,0.40499282,9.642231,318.46213,0.030857366,0.2932195,6.576316,95.1,64.49485,0.79679537,12.160206,0.00026801162,1.6706421,4.300827189985897,0.09158997876546363
13435,0.16965018,0.29693037,0.99999994,1.0264262,0.7726294,0.0029296875,0.015961403,5.4481587,0.31765196,9.512973,559.3847,0.020013848,0.22490287,6.1196504,92.833336,56.235542,0.7417174,12.159872,0.00027035235,1.3529768,3.9258258486854385,-0.1156021612262032
16157,0.18030123,0.27580446,0.99999994,1.0361446,0.75897896,0.0029296875,0.012848736,4.3857017,0.25765598,8.324039,639.53094,0.020013848,0.2247141,6.07085,87.166664,66.39319,0.8467313,12.1601715,0.00028435458,1.317504,4.3707367823696535,0.1190191796627901
6492,0.1590513,0.21068203,1.0,0.8872462,0.8482884,0.0126953125,0.062373795,4.913136,0.58128065,9.472071,121.79386,0.068048745,0.42066967,7.250024,92.96154,56.36669,0.7042453,12.162653,0.00026465685,1.2149945,4.576643132135052,0.3060794062616893
10607,0.28208137,0.5468724,1.0,0.92247206,0.8420777,0.0053710938,0.020297144,3.778959,0.27730572,4.350319,186.94016,0.03342987,0.31401265,6.758121,104.63636,78.92094,1.3232392,12.16098,0.0003193877,1.1803277,4.902110527328421,-0.18637218073372683
12383,0.15229666,0.28256965,1.0,0.81629133,0.8865929,0.005859375,0.022177301,3.7849262,0.2924747,4.98504,184.6091,0.03595768,0.32437807,6.716266,99.583336,56.441998,0.7648936,12.16438,0.00029661442,1.0725962,3.332161638603537,-0.3012184467940608
1512,0.1990914,0.34543267,1.0,0.87967443,0.8453813,0.0068359375,0.027565992,4.0325108,0.3367876,5.318591,157.33278,0.04089351,0.34439695,7.0820613,116.85714,57.628708,0.72732794,12.157799,0.0002801842,1.0466005,4.539356359498056,0.40690503304181985
6354,0.30438384,0.44293743,1.0,1.1705025,0.6748709,0.0068359375,0.05953914,8.709725,0.79293495,18.596268,272.95563,0.04089351,0.33248094,6.7052994,94.07143,93.81719,1.2617396,12.171444,0.00028771267,0.99777704,7.588451299034263,1.8595590130256592
4267,0.22980976,0.31053364,1.0,1.1242307,0.7752855,0.0029296875,0.019801365,6.758866,0.45939493,17.615416,1104.8859,0.020013848,0.20363267,6.2687554,103.166664,90.87547,1.3850455,12.159679,0.00035456487,0.91047716,4.664294003256436,-0.4732885742156048
9780,0.14709885,0.18829197,0.99999994,0.9528738,0.82987124,0.0029296875,0.018148866,6.194813,0.3472259,9.071241,432.89682,0.020013848,0.23008998,6.0227914,89.5,57.5266,0.68502736,12.161617,0.00024197027,0.8654941,3.3253805080673997,-0.6602474334152623
9102,0.14293988,0.19603828,1.0,0.8421292,0.87172323,0.0053710938,0.021341193,3.9733422,0.29822055,5.9799376,227.3339,0.03342987,0.3112045,6.660515,94.27273,56.31395,0.690752,12.157689,0.0002735323,0.8103672,3.380037450447313,-0.40506971398566366
5941,0.23363285,0.3552928,1.0,0.9169974,0.8220775,0.008300781,0.03274123,3.9443552,0.36225417,5.4063807,128.45201,0.048038643,0.37008375,6.8845506,84.94118,68.959755,0.93966734,12.154215,0.00029342299,0.78532624,5.294430584292195,0.5643839005158133
5062,0.16868474,0.3851157,1.0,0.90003,0.823537,0.010253906,0.042055644,4.1014266,0.43134186,7.5424924,136.50237,0.057165034,0.39409062,7.0962048,94.90476,71.287834,0.9581585,12.1657505,0.00027416702,0.73343045,4.972384917157955,0.4315328490637932
1360,0.143153,0.21743768,0.99999994,0.8254647,0.88667357,0.0068359375,0.026576791,3.8878047,0.32328343,5.214568,153.00594,0.04089351,0.34500068,6.7974358,87.21429,60.877792,0.97442603,12.160704,0.00034273294,0.7191546,2.973875730424135,-0.7943206196666326
8291,0.16779856,0.4250415,0.99999994,0.9337852,0.82572675,0.0073242188,0.031909727,4.3567414,0.3880498,8.509018,204.55078,0.043307357,0.35008913,6.7861376,89.2,60.87343,0.8362875,12.15971,0.0002542397,0.71309996,4.249294043829499,-0.056935962905157095
4082,0.20089407,0.326488,1.0000001,0.92302895,0.8196629,0.0087890625,0.0465133,5.29218,0.53323287,10.38154,192.57877,0.05035992,0.3692787,6.859332,82.833336,61.753387,0.9932985,12.154535,0.00033274142,0.68825835,5.0648003853335,0.5759208665638422
576,0.17293103,0.39879593,1.0,0.88994306,0.8915911,0.0107421875,0.053529155,4.9830775,0.5474185,9.5322895,143.90967,0.05938481,0.39730582,7.280396,105.77273,70.17695,1.0976391,12.151201,0.00034445588,0.68765205,4.1234931205741745,-0.5102707319115113
4152,0.1361579,0.17810982,1.0,0.92999357,0.82685244,0.0029296875,0.013182925,4.4997716,0.26291162,8.482052,630.81396,0.020013848,0.22557698,6.0741987,83.333336,63.790344,0.942409,12.158383,0.00030767656,0.6849371,3.1774538580688705,-0.8146174582544538
15767,0.18581714,0.24282789,1.0,0.8781928,0.82678974,0.014160156,0.059303515,4.188055,0.51201624,7.5273495,91.32492,0.074343786,0.43756017,7.2484236,81.793106,66.63032,0.80275863,12.164588,0.00025317655,0.67474544,5.3003812020394445,0.6306722198535957
8806,0.123686306,0.97826755,1.0,1.0256468,0.92699534,0.4243164,3.8591778,9.095047,5.6910987,33.46079,3.3744292,0.68164706,0.86799085,8.501105,86.78941,46.581814,1.1790171,12.1565275,0.00037181942,0.6736621,-42.363708823738165,-66.6988808107346
15484,0.1367785,0.17738599,1.0,0.9575681,0.852345,0.0048828125,0.018768422,3.843773,0.2701883,4.935149,214.22775,0.030857366,0.30095288,6.5483265,91.5,53.970387,0.62301266,12.158714,0.0002641874,0.6437935,3.253453653941995,-0.5666523681501356
12885,0.2664419,0.6233393,1.0000001,1.029815,0.8029491,0.03173828,0.1860694,5.8626175,1.1540982,14.937351,68.43377,0.14073363,0.53351897,7.811219,93.707695,82.77805,0.82592916,12.162441,0.00023707462,0.6403403,7.348148995367279,0.871823455809613
5171,0.14098918,0.17409626,1.0,0.8993292,0.87439585,0.008300781,0.033632778,4.0517607,0.38265082,8.067898,178.90053,0.048038643,0.36705443,6.9692273,91.23529,56.30405,0.8053255,12.157722,0.0003274743,0.6362468,3.4320801847119777,-0.41296545339314966
1540,0.14473455,0.22688243,0.99999994,0.8671022,0.89244384,0.012207031,0.06684452,5.4759035,0.68059707,15.432492,206.54933,0.06591326,0.40702915,7.362281,109.48,56.52584,0.8565755,12.156488,0.00031319188,0.6258618,3.7386971981387163,-0.4924383740572837
12376,0.25630927,0.8010056,0.9999999,0.99009603,0.83568597,0.08691406,0.520903,5.993311,1.8714128,17.909636,20.618534,0.29533935,0.6677366,8.227389,100.32022,106.9452,1.1565902,12.197149,0.0002417822,0.6253685,4.5443832379021805,-4.920395321787529
1288,0.14056888,0.1925661,1.0,0.89772195,0.8564107,0.009277344,0.04397461,4.74,0.47247127,8.292273,142.5427,0.052653816,0.3812689,6.924954,86.31579,59.707436,0.6750901,12.171335,0.00024173627,0.61303616,3.9279955965294384,-0.03203774360727593
