feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_w2,collateral_w2_per_effect,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_reconstruction_norm_ratio,resid_error_delta_norm,resid_change_explained_energy,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx
43,0.1466442197561264,0.2041100561618805,1.0000001192092896,0.9449360966682434,0.8516426086425781,0.0048828125,0.028109438717365265,5.756813049316406,0.4761105477809906,15.799935340881348,664.8740844726562,0.03085736557841301,0.28146234154701233,6.359133720397949,81.0999984741211,71.6814956665039,1.1624871492385864,12.16935920715332,0.0003385671880096197,0.4375,2.787818431854248,0.15693274476978056,16.395305633544922,5.8810521472266295,0.25,0.08967585415416031,0.40276965498924255,1.1838371753692627,0.7467222213745117,-11.600955963134766,0.3098364472389221,0.38294753432273865,0.125,0.6852825284004211,1.8050282051262911e-06,6.474697842682042e-07,0.8786044716835022,1.199336051940918,0.5,48
89,0.179976686835289,0.753450334072113,1.0,0.8648819327354431,0.9327532052993774,0.00390625,0.014142808504402637,3.620558977127075,0.22678734362125397,4.215417861938477,259.29888916015625,0.02555946074426174,0.27221739292144775,6.39365291595459,96.5,55.48975372314453,0.7823280096054077,12.163606643676758,0.0002857553190551698,0.3125,2.2659401893615723,0.13791184784490199,6.693158149719238,2.9538105867070246,0.0833333358168602,0.03677649385466542,0.2877810597419739,2.3667798042297363,0.8349337577819824,-34.239646911621094,0.3489585816860199,0.47135862708091736,0.1875,0.7158624529838562,1.0525412790229893e-06,4.645053207139105e-07,0.7800644636154175,0.603426456451416,0.5,48
148,0.20590367913246155,0.2879942059516907,0.9999999403953552,1.225932240486145,0.7775681018829346,0.00244140625,0.013657565228641033,5.5941386222839355,0.32483193278312683,12.484115600585938,1099.6866455078125,0.01712392456829548,0.19047211110591888,6.1766886711120605,115.5999984741211,76.4727554321289,1.1994273662567139,12.159313201904297,0.00034661145764403045,0.8125,3.9065101146698,0.2079861498038936,58.68865966796875,15.023296444913079,0.5833333730697632,0.14932339977464407,0.5447551608085632,1.9438928365707397,1.441899061203003,-16.993257522583008,0.3997892737388611,0.41978272795677185,0.0625,0.514664888381958,4.246275238983799e-06,1.0869740774939674e-06,0.5824856758117676,0.5827227830886841,0.5,48
266,0.23452194035053253,0.40966933965682983,1.0,0.9729461073875427,0.7701588273048401,0.00830078125,0.04103090986609459,4.943017959594727,0.45988568663597107,7.300958633422852,141.85255432128906,0.04803864285349846,0.3683917224407196,6.782562255859375,76.23529052734375,61.308837890625,0.6608806848526001,12.166051864624023,0.00023030128795653582,1.2916667461395264,3.4213480949401855,0.37753151872340923,50.705806732177734,14.820417325837766,0.6041666865348816,0.17658731821602938,0.45885682106018066,4.080140590667725,2.0543417930603027,-42.45002365112305,0.3852328956127167,0.5030564665794373,0.1875,0.5643413066864014,2.444029632897582e-06,7.143469643935312e-07,0.5304642915725708,1.6824668645858765,0.5,48
293,0.21450889110565186,0.32584744691848755,1.0,1.1260790824890137,0.7869975566864014,0.013671875,0.06771737337112427,4.953042030334473,0.6344619989395142,12.069558143615723,162.25967407226562,0.07226333767175674,0.425581157207489,7.334673881530762,105.21428680419922,61.18506622314453,0.7510172724723816,12.162477493286133,0.00024399161338806152,1.0833333730697632,3.076958656311035,0.35207927390476496,19.559492111206055,6.356761410336371,0.8333333730697632,0.27083021367617083,0.4114622473716736,3.465409755706787,1.6590255498886108,-42.15705871582031,0.484435498714447,0.5266057252883911,0.0833333358168602,0.2937537729740143,2.541598860261729e-06,8.260100754973258e-07,0.3698539733886719,2.025935649871826,0.5,48
297,0.15788093209266663,0.27121850848197937,1.0,1.090834140777588,0.8034213185310364,0.0029296875,0.01625402644276619,5.548040866851807,0.324738472700119,9.835708618164062,577.3910522460938,0.020013848319649696,0.2244921177625656,5.96728515625,76.16666412353516,79.9084701538086,1.035825490951538,12.19047737121582,0.00024210244009736925,0.5,3.791069746017456,0.13188889473910745,84.69292449951172,22.34011240892655,0.2708333432674408,0.0714398206040801,0.3484838008880615,1.9386959075927734,0.886439323425293,-23.564247131347656,0.1626826822757721,0.2964657247066498,0.3541666865348816,0.9265717267990112,1.5800000028320937e-06,4.1676890812262295e-07,1.6011885404586792,0.6935051083564758,0.5,48
385,0.2249424308538437,0.26710134744644165,0.9999998807907104,1.0285500288009644,0.7538080215454102,0.013671875,0.06089751794934273,4.45421838760376,0.5353497266769409,7.7079854011535645,91.55561828613281,0.07226333767175674,0.43272414803504944,6.971729278564453,71.78571319580078,73.7228012084961,0.9710772633552551,12.164204597473145,0.0002760020433925092,1.375,2.8739984035491943,0.47842754314605473,152.454833984375,53.04624848282486,0.9791666865348816,0.34069840885043384,0.42449331283569336,5.476554870605469,2.5117831230163574,-67.40904235839844,0.30752846598625183,0.3187643885612488,0.02083333395421505,0.4059111177921295,2.553491412982112e-06,8.884804532055124e-07,0.6033066511154175,1.8142023086547852,0.5,48
454,0.2299448549747467,0.2883767783641815,1.0,1.032704472541809,0.7321827411651611,0.01171875,0.06126518175005913,5.227962017059326,0.6304359436035156,15.161635398864746,225.34747314453125,0.0637580007314682,0.40347111225128174,6.5898237228393555,62.83333206176758,72.05140686035156,0.8895854949951172,12.160419464111328,0.00027374053024686873,1.3541667461395264,3.3301892280578613,0.4066335722498656,115.419921875,34.658667608424544,0.5416666865348816,0.16265342532029115,0.4231681525707245,2.1367011070251465,1.0286674499511719,-18.715030670166016,0.2593466639518738,0.4318656325340271,0.25,0.7053665518760681,1.6335843611159362e-06,4.90537997795173e-07,0.7684084177017212,2.0537521839141846,0.5,48
496,0.15857231616973877,0.20336808264255524,1.0,0.9978770017623901,0.8148983120918274,0.01025390625,0.07473525404930115,7.288466453552246,0.8501434326171875,20.286725997924805,263.9930114746094,0.057165034115314484,0.3806382119655609,6.73261833190918,97.33333587646484,68.3281478881836,0.9346299171447754,12.170486450195312,0.0002870899043045938,0.8333333730697632,2.506700277328491,0.3324423654803526,20.300764083862305,8.09860045354596,0.5208333730697632,0.20777648436975282,0.4314388632774353,2.0138518810272217,1.1102428436279297,-18.947628021240234,0.29599282145500183,0.2968940734863281,0.02083333395421505,0.3188243806362152,2.733333531068638e-06,1.0904109856634198e-06,0.5574874877929688,2.805736780166626,0.5,48
504,0.13646383583545685,0.18113116919994354,1.0,1.0163564682006836,0.8185812830924988,0.00390625,0.025380700826644897,6.497459411621094,0.4238767921924591,9.72027587890625,332.6308288574219,0.02555946074426174,0.2664346694946289,6.395210266113281,93.375,57.392784118652344,0.8122414350509644,12.16099739074707,0.00028430813108570874,0.625,2.9345645904541016,0.21297878394065206,2.441030979156494,0.8318204952035348,0.3333333432674408,0.11358868815355437,0.39129120111465454,1.8894938230514526,0.9124860167503357,-17.516725540161133,0.31303152441978455,0.3904380798339844,0.1666666716337204,0.5576003193855286,3.215785454813158e-06,1.095830520928229e-06,0.719466507434845,1.0829099416732788,0.5,48
