feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,stab_signed,stab_abs,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx
141,0.23966960608959198,0.3309493660926819,1.0,1.0379945039749146,0.6961092948913574,0.0029296875,0.0007775839185342193,0.2654153108596802,0.016578318551182747,0.464006245136261,559.9434814453125,0.020013848319649696,0.20615358650684357,5.921329498291016,74.0,98.02195739746094,2.8748481273651123,10.483692169189453,0.0016705506714060903,20.83333396911621,36.56724548339844,0.5697266416437436,0.8610898852348328,0.8610898852348328,0.006021380424499512,0.00016466595564564916,0.372889906167984,0.03317691385746002,1.0,48
143,0.2891598343849182,0.38465210795402527,1.0,0.625582218170166,0.8695226907730103,0.02587890625,0.0036265868693590164,0.14013679325580597,0.031771451234817505,0.58283931016922,153.87252807617188,0.12011110782623291,0.4596848785877228,7.287170886993408,76.75471496582031,86.12339782714844,2.0959296226501465,10.523996353149414,0.0012428059708327055,25.5625,30.052581787109375,0.8505924772978654,0.9050811529159546,0.9050811529159546,0.0034184521064162254,0.00011374903259543016,0.28377586603164673,0.10581877082586288,1.0,48
260,0.3338434398174286,0.47469258308410645,1.0,0.9050043225288391,0.6972149014472961,0.009765625,0.0016991740558296442,0.17399542033672333,0.023677106946706772,0.6766662001609802,414.30615234375,0.05492175742983818,0.33596229553222656,6.493315696716309,65.19999694824219,89.3790512084961,2.61409330368042,10.501550674438477,0.0014961531851440668,23.104167938232422,37.266021728515625,0.6199794574357135,0.8001072406768799,0.8001072406768799,0.00906785111874342,0.00024332758624920526,0.32069265842437744,0.0717238187789917,1.0,48
337,0.2746236324310303,0.3821609914302826,1.0,1.457287073135376,0.6377817988395691,0.00244140625,0.001441464526578784,0.5904238820075989,0.039907436817884445,1.684325933456421,1552.9744873046875,0.01712392456829548,0.1657911092042923,5.724852085113525,74.4000015258789,110.65486145019531,4.540578842163086,10.393011093139648,0.0029072484467178583,18.375,32.361778259277344,0.5677994530184488,0.8025020956993103,0.8025020956993103,0.0067789554595947266,0.00020947413344186739,0.4250609576702118,0.06150248646736145,1.0,48
448,0.38262486457824707,0.4868980646133423,1.0,0.7523176670074463,0.7304484844207764,0.01416015625,0.002310192910954356,0.16314741969108582,0.024752873927354813,0.4999769330024719,209.43858337402344,0.07434378564357758,0.39964213967323303,7.014002323150635,73.93103790283203,74.33358764648438,2.347076416015625,10.511200904846191,0.0015307969879359007,9.979166984558105,27.052017211914062,0.36888809077329243,0.8535856604576111,0.8535856604576111,0.004222840070724487,0.00015610074605836366,0.2842746376991272,0.08362027257680893,1.0,48
639,0.38943910598754883,0.5415309071540833,0.9999999403953552,1.3049360513687134,0.6037219762802124,0.00927734375,0.004903771448880434,0.5285749435424805,0.09962974488735199,4.167602062225342,1493.3475341796875,0.05265381559729576,0.28912168741226196,6.429078102111816,62.578948974609375,79.96690368652344,2.113090753555298,10.521594047546387,0.0012707785936072469,20.875,32.76299285888672,0.6371518036688243,0.7750208377838135,0.7750208377838135,0.00719256978482008,0.00021953335623530544,0.30912432074546814,0.20723581314086914,1.0,48
730,0.3792695105075836,0.5591630935668945,1.0,2.0938799381256104,0.4772246479988098,0.00537109375,0.006944763008505106,1.292988657951355,0.1311679631471634,4.402803897857666,702.31396484375,0.03342986851930618,0.25643664598464966,5.939998149871826,57.0,84.43535614013672,2.453327178955078,10.519857406616211,0.001433313824236393,20.0,31.997737884521484,0.6250441848710909,0.7694779634475708,0.7694779634475708,0.007586514111608267,0.0002370953264451609,0.30995896458625793,0.29630985856056213,1.0,48
1076,0.4244166314601898,0.5513150095939636,0.9999999403953552,0.6856319308280945,0.7151241302490234,0.00537109375,0.0010058118496090174,0.1872638761997223,0.01781359873712063,0.4882739186286926,486.73443603515625,0.03342986851930618,0.26878786087036133,6.461626052856445,75.2727279663086,68.50785064697266,2.2534449100494385,10.524996757507324,0.0013198533561080694,18.5,29.044347763061523,0.636956978498882,0.6851364970207214,0.6851364970207214,0.005128668621182442,0.00017658060911731867,1.1078146696090698,0.042914632707834244,1.0,48
1208,0.2694833278656006,0.4001806378364563,1.0,0.9938986301422119,0.8081364035606384,0.00390625,0.0006272761966101825,0.16058270633220673,0.012552449479699135,0.3610720634460449,558.970947265625,0.02555946074426174,0.23173438012599945,6.142901420593262,74.75,92.69200134277344,3.3572778701782227,10.5067777633667,0.0015716180205345154,21.0,35.69056701660156,0.5883907639894845,0.9142882227897644,0.9142882227897644,0.006021276116371155,0.00016870777401444096,0.25159376859664917,0.026763783767819405,1.0,48
1227,0.48671841621398926,0.589576005935669,1.0,1.2737805843353271,0.4720415472984314,0.01220703125,0.0028475758153945208,0.23327341675758362,0.03435764089226723,0.9116516709327698,343.84698486328125,0.06591325998306274,0.3752962350845337,6.609313488006592,70.76000213623047,85.83206939697266,1.635680079460144,10.524239540100098,0.001030190265737474,24.875,36.553672790527344,0.6805061733671025,0.7837752103805542,0.7837752103805542,0.007209697272628546,0.00019723591968368593,0.37124189734458923,0.11170590668916702,1.0,48
