feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_reconstruction_norm_ratio,resid_error_delta_norm,resid_change_explained_energy,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx
150,0.2048582136631012,0.30126094818115234,0.2807898223400116,5.1807684898376465,0.6348737478256226,0.00341796875,0.012541529722511768,3.669293165206909,0.2510805130004883,8.847356796264648,821.0393676757812,0.02282176911830902,0.2354002296924591,5.106733322143555,32.14285659790039,1.3951454162597656,0.024461735039949417,11.464967727661133,0.0005042179254814982,2.0833334922790527,13.974574089050293,0.14908028520315586,1.0416667461395264,0.07454014260157793,0.3168930411338806,1.2186464071273804,0.5441018342971802,-3.143798828125,0.20437893271446228,0.20437893271446228,0.0,0.17581570148468018,0.0007078944472596049,5.065588705903482e-05,0.3532276153564453,0.5351052284240723,1.0,48
184,0.25756368041038513,0.3611215651035309,0.1826881617307663,6.769686222076416,0.7220209836959839,0.02880859375,0.08715607970952988,3.0253500938415527,0.5331909656524658,7.345062255859375,53.18812942504883,0.1305760145187378,0.5288028717041016,6.67757511138916,33.25423812866211,0.8983107209205627,0.033245522528886795,11.45854663848877,0.001001708093099296,3.25,11.399166107177734,0.2851085743107542,1.6041667461395264,0.14072667506109598,0.2538168132305145,1.1588470935821533,0.4092145562171936,-2.686995029449463,0.194362074136734,0.19673220813274384,0.0416666679084301,0.15223917365074158,0.0008001450332812965,7.019329528635736e-05,0.32557564973831177,1.493451476097107,1.0,48
508,0.24651780724525452,0.39155304431915283,0.24469922482967377,9.053070068359375,0.44967180490493774,0.0048828125,0.01910802535712719,3.9133236408233643,0.3076428174972534,9.479795455932617,519.111083984375,0.03085736557841301,0.2876347005367279,5.346302032470703,33.400001525878906,1.2315748929977417,0.017364831641316414,11.464577674865723,0.0004393848357722163,2.125,13.91486930847168,0.1527143339520343,1.2083333730697632,0.08683756529899475,0.30267342925071716,1.1940743923187256,0.5003625154495239,-2.937180757522583,0.2229432761669159,0.2229432761669159,0.0,0.15738672018051147,0.0007435480947606266,5.343550684831678e-05,0.3394787013530731,0.8152756690979004,1.0,48
661,0.27844759821891785,0.38002339005470276,0.22936883568763733,11.82144832611084,0.36102426052093506,0.00390625,0.017513282597064972,4.483400344848633,0.3214443325996399,10.272464752197266,611.865478515625,0.02555946074426174,0.25413742661476135,5.14707088470459,38.0,1.2644100189208984,0.018539831042289734,11.4703950881958,0.00046562854549847543,2.8541667461395264,13.701261520385742,0.20831415704384199,1.5208333730697632,0.11099951414670543,0.292525976896286,1.1045069694519043,0.45888563990592957,-2.9718964099884033,0.20599409937858582,0.20599409937858582,0.0,0.21638555824756622,0.0006606037495657802,4.821481205221412e-05,0.2840288579463959,0.7472333908081055,1.0,48
676,0.22705407440662384,0.844906747341156,0.28713878989219666,4.987122535705566,0.7251724600791931,0.0048828125,0.016077183187007904,3.292607069015503,0.2416287064552307,5.460453033447266,285.1457824707031,0.03085736557841301,0.29509207606315613,5.528977394104004,37.099998474121094,1.5112205743789673,0.0736183300614357,11.419126510620117,0.0013213921338319778,2.0833334922790527,21.767650604248047,0.09570777890542784,1.1875,0.05455342981399748,0.41413232684135437,1.0594704151153564,0.6072893142700195,-1.6559703350067139,0.4446101188659668,0.44803929328918457,0.02083333395421505,0.33139726519584656,0.0006608394905924797,3.035878801545658e-05,0.6057003140449524,0.6859598159790039,1.0,48
761,0.29068809747695923,0.4518950879573822,0.22596722841262817,8.388011932373047,0.4935658574104309,0.0029296875,0.006933656521141529,2.3666880130767822,0.12954773008823395,3.141343116760254,375.95330810546875,0.020013848319649696,0.23343686759471893,5.165113925933838,43.33333206176758,1.226153016090393,0.016873205080628395,11.466826438903809,0.0004682752478402108,2.4375,13.495699882507324,0.18061308560612518,1.4166667461395264,0.10497171376239962,0.29493674635887146,1.3852338790893555,0.547478437423706,-4.077025413513184,0.20098450779914856,0.20311763882637024,0.0416666679084301,0.13141529262065887,0.0006749993190169334,5.001588093935656e-05,0.35364392399787903,0.2958360016345978,1.0,48
918,0.25419801473617554,0.4457131624221802,0.15957599878311157,8.203288078308105,0.6577256917953491,0.00244140625,0.006666628643870354,2.7306511402130127,0.13661086559295654,3.2927212715148926,445.8826904296875,0.01712392456829548,0.2092817723751068,4.844442367553711,31.400001525878906,0.8684005737304688,0.014200836420059204,11.460031509399414,0.000479677168186754,3.3333334922790527,10.855146408081055,0.3070740240524836,0.8333333730697632,0.0767685060131209,0.21807360649108887,1.3907337188720703,0.3864065110683441,-4.4384050369262695,0.19005921483039856,0.19042372703552246,0.02083333395421505,0.1226470097899437,0.000533454935066402,4.914304372512598e-05,0.2191438525915146,0.28444281220436096,1.0,48
952,0.2034238874912262,0.4194674491882324,0.2562031149864197,6.449410438537598,0.5449576377868652,0.03662109375,0.1845567226409912,5.039628982543945,1.0323079824447632,10.04648494720459,40.01785659790039,0.15705294907093048,0.5543011426925659,5.0631184577941895,26.8266658782959,1.3337666988372803,0.018640656024217606,11.4691162109375,0.00046810891944915056,5.0,13.592092514038086,0.3678609449690934,2.8333334922790527,0.20845454717647074,0.3334601819515228,1.3573074340820312,0.5433656573295593,-2.2531638145446777,0.23113799095153809,0.23113799095153809,0.0,0.2629339396953583,0.0003897201386280358,2.8672563693839062e-05,0.3115729093551636,2.706958532333374,1.0,48
1166,0.2821069657802582,0.36681607365608215,0.23040129244327545,6.530035495758057,0.6312417984008789,0.01708984375,0.050305046141147614,2.943563938140869,0.39005404710769653,5.093024253845215,65.92750549316406,0.08648617565631866,0.46356865763664246,6.486051082611084,38.5428581237793,1.2383977174758911,0.017150703817605972,11.470983505249023,0.00043560340418480337,4.270833492279053,13.963374137878418,0.3058597046135843,2.5208334922790527,0.18053183031424147,0.3094346821308136,1.3543071746826172,0.5273023843765259,-3.3549108505249023,0.29568028450012207,0.3360178470611572,0.1666666716337204,0.2477836012840271,0.0006165550439618528,4.4155161741872506e-05,0.29222461581230164,1.1917592287063599,1.0,48
1235,0.21479515731334686,0.4204155504703522,0.29848992824554443,4.2529144287109375,0.7195783257484436,0.00439453125,0.01347045972943306,3.0652780532836914,0.20782193541526794,4.234746932983398,265.7437438964844,0.02823571488261223,0.28489819169044495,5.345439434051514,32.66666793823242,1.5340298414230347,0.062055155634880066,11.450760841369629,0.001130578457377851,2.0,15.235621452331543,0.13127131078602783,1.0416667461395264,0.06837047958397606,0.3489072322845459,1.1714190244674683,0.5604308843612671,-2.485551118850708,0.31723201274871826,0.31723201274871826,0.0,0.15549056231975555,0.0008780184434726834,5.762931598448352e-05,0.32572007179260254,0.5747396349906921,1.0,48
1287,0.24628522992134094,0.3217793405056,0.3330850601196289,8.057740211486816,0.4374038279056549,0.02294921875,0.07632768154144287,3.3259382247924805,0.5178263783454895,5.333414077758789,52.45055389404297,0.1093050092458725,0.4999258518218994,6.279660701751709,30.340425491333008,1.7081844806671143,0.026606127619743347,11.469484329223633,0.00045586953638121486,4.3125,17.11092758178711,0.2520319238607444,2.7916667461395264,0.16315110511480793,0.4456908106803894,1.3129496574401855,0.7059226036071777,-1.7709319591522217,0.2810383439064026,0.3168240785598755,0.125,0.2043164223432541,0.0010088426060974598,5.895896646665043e-05,0.379591703414917,1.4880752563476562,1.0,48
1518,0.24538159370422363,0.3576582372188568,0.25245094299316406,5.464461803436279,0.627084493637085,0.00390625,0.0103564178571105,2.651242971420288,0.16848869621753693,3.555753231048584,289.5272216796875,0.02555946074426174,0.2703157663345337,5.357417106628418,36.25,1.26913321018219,0.022660350427031517,11.464445114135742,0.0004905089735984802,3.7083334922790527,14.898173332214355,0.2489119576674138,1.7708333730697632,0.1188624492676603,0.31244659423828125,0.9757997989654541,0.4406376779079437,-1.5375967025756836,0.2396913468837738,0.24611441791057587,0.0625,0.19864799082279205,0.0009832060895860195,6.599507651049272e-05,0.3392309844493866,0.44187378883361816,1.0,48
1682,0.2707390785217285,0.3699049949645996,0.21169401705265045,6.081089019775391,0.6423181295394897,0.00439453125,0.013107946142554283,2.982785940170288,0.20183004438877106,3.8831682205200195,263.1142578125,0.02823571488261223,0.2851964235305786,5.533568382263184,39.55555725097656,1.0663431882858276,0.017817892134189606,11.461321830749512,0.0005195067496970296,2.0625,13.319374084472656,0.1548496187111305,1.1041667461395264,0.08289929679186195,0.2832336127758026,1.6569979190826416,0.5576178431510925,-4.258022308349609,0.2773004174232483,0.2829103469848633,0.02083333395421505,0.23174814879894257,0.0006688485736958683,5.021621653929148e-05,0.35884055495262146,0.5592723488807678,1.0,48
1710,0.20238570868968964,0.9460521340370178,0.1602761298418045,6.829612731933594,0.7684803605079651,0.14892578125,0.4643787145614624,3.1181888580322266,1.192057728767395,9.30036735534668,7.903043746948242,0.4208412170410156,0.7429362535476685,7.40861177444458,32.71147537231445,0.8489364385604858,0.015093330293893814,11.449535369873047,0.0005854431074112654,4.708333492279053,10.69331169128418,0.4403063918648906,1.8125,0.16949847256227774,0.2265552282333374,2.0354416370391846,0.5061302185058594,-5.86643123626709,0.15335796773433685,0.15455959737300873,0.02083333395421505,0.16587379574775696,0.0003723967238329351,3.4825200483795234e-05,0.28739675879478455,2.2966268062591553,1.0,48
1769,0.2575438916683197,0.3487958014011383,0.2393660992383957,6.825838088989258,0.5778955221176147,0.00341796875,0.013587648048996925,3.9753575325012207,0.23646032810211182,4.996452331542969,325.43743896484375,0.02282176911830902,0.25259894132614136,4.971230506896973,32.85714340209961,1.182729959487915,0.01693076081573963,11.466313362121582,0.00045640073949471116,4.1666669845581055,14.786581039428711,0.28178704533723753,2.125,0.1437113821576828,0.32464930415153503,1.2447739839553833,0.5090720653533936,-2.3174266815185547,0.21515211462974548,0.23834508657455444,0.0833333358168602,0.1564309000968933,0.0005940827541053295,4.0177154686362215e-05,0.285189151763916,0.5797396302223206,1.0,48
