feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_reconstruction_norm_ratio,resid_error_delta_norm,resid_change_explained_energy,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx
43,0.1466442197561264,0.2041100561618805,1.0000001192092896,0.9449360966682434,0.8516426086425781,0.0048828125,0.028109438717365265,5.756813049316406,0.4761105477809906,15.799935340881348,664.8740844726562,0.03085736557841301,0.28146234154701233,6.359133720397949,81.0999984741211,71.6814956665039,1.1624871492385864,12.16935920715332,0.0003385671880096197,2.875,5.572849273681641,0.5158940882213602,2.1041667461395264,0.37757467303142855,0.8062957525253296,1.1547292470932007,1.3870420455932617,-5.586790561676025,0.309798002243042,0.38219985365867615,0.125,0.6836304664611816,7.142466984078055e-06,1.2816544321398666e-06,0.874503493309021,1.199336051940918,1.0,48
89,0.179976686835289,0.753450334072113,1.0,0.8648819327354431,0.9327532052993774,0.00390625,0.014142808504402637,3.620558977127075,0.22678734362125397,4.215417861938477,259.29888916015625,0.02555946074426174,0.27221739292144775,6.39365291595459,96.5,55.48975372314453,0.7823280096054077,12.163606643676758,0.0002857553190551698,2.6875,4.533084869384766,0.5928633748337733,1.3958333730697632,0.3079212964702322,0.5759979486465454,2.6949210166931152,1.826818823814392,-22.811365127563477,0.35116004943847656,0.4743883013725281,0.1875,0.7123000025749207,4.222275947540766e-06,9.31435448460832e-07,0.7703624963760376,0.603426456451416,1.0,48
148,0.20590367913246155,0.2879942059516907,0.9999999403953552,1.225932240486145,0.7775681018829346,0.00244140625,0.013657565228641033,5.5941386222839355,0.32483193278312683,12.484115600585938,1099.6866455078125,0.01712392456829548,0.19047211110591888,6.1766886711120605,115.5999984741211,76.4727554321289,1.1994273662567139,12.159313201904297,0.00034661145764403045,4.0625,7.810063362121582,0.5201622325500328,3.2708334922790527,0.41879730501988743,1.0902774333953857,1.8189125061035156,2.541752338409424,-7.647845268249512,0.40006178617477417,0.4193193316459656,0.0625,0.5121363401412964,1.711157165118493e-05,2.1909645076972813e-06,0.5798256397247314,0.5827227830886841,1.0,48
266,0.23452194035053253,0.40966933965682983,1.0,0.9729461073875427,0.7701588273048401,0.00830078125,0.04103090986609459,4.943017959594727,0.45988568663597107,7.300958633422852,141.85255432128906,0.04803864285349846,0.3683917224407196,6.782562255859375,76.23529052734375,61.308837890625,0.6608806848526001,12.166051864624023,0.00023030128795653582,6.145833492279053,6.846571922302246,0.8976511972777067,4.375,0.6390059205189496,0.9178953170776367,3.4248645305633545,3.3623523712158203,-18.550928115844727,0.38412588834762573,0.5014212131500244,0.1875,0.5668151378631592,9.760175089468248e-06,1.425556495422121e-06,0.534555971622467,1.6824668645858765,1.0,48
293,0.21450889110565186,0.32584744691848755,1.0,1.1260790824890137,0.7869975566864014,0.013671875,0.06771737337112427,4.953042030334473,0.6344619989395142,12.069558143615723,162.25967407226562,0.07226333767175674,0.425581157207489,7.334673881530762,105.21428680419922,61.18506622314453,0.7510172724723816,12.162477493286133,0.00024399161338806152,5.3125,6.161061763763428,0.8622702052141425,4.1875,0.6796718088158535,0.8234701156616211,2.999851942062378,2.850372076034546,-19.323801040649414,0.48507946729660034,0.5272809267044067,0.0833333358168602,0.29449230432510376,1.0063027730211616e-05,1.6333268679539156e-06,0.37066417932510376,2.025935649871826,1.0,48
297,0.15788093209266663,0.27121850848197937,1.0,1.090834140777588,0.8034213185310364,0.0029296875,0.01625402644276619,5.548040866851807,0.324738472700119,9.835708618164062,577.3910522460938,0.020013848319649696,0.2244921177625656,5.96728515625,76.16666412353516,79.9084701538086,1.035825490951538,12.19047737121582,0.00024210244009736925,3.0416667461395264,7.55282735824585,0.4027189551461913,2.125,0.28135159144959154,0.697372555732727,1.598429560661316,1.4778556823730469,-9.748862266540527,0.1600750982761383,0.30149221420288086,0.3541666865348816,0.9252917766571045,6.308693173195934e-06,8.352757008215763e-07,1.5925301313400269,0.6935051083564758,1.0,48
385,0.2249424308538437,0.26710134744644165,0.9999998807907104,1.0285500288009644,0.7538080215454102,0.013671875,0.06089751794934273,4.45421838760376,0.5353497266769409,7.7079854011535645,91.55561828613281,0.07226333767175674,0.43272414803504944,6.971729278564453,71.78571319580078,73.7228012084961,0.9710772633552551,12.164204597473145,0.0002760020433925092,6.0416669845581055,5.7504682540893555,1.050639131822922,4.25,0.7390702469467555,0.8494712710380554,3.6952247619628906,3.4080238342285156,-23.103805541992188,0.3077862858772278,0.3191022276878357,0.02083333395421505,0.4062218964099884,1.0155046766158193e-05,1.7659512755812673e-06,0.6037889719009399,1.8142023086547852,1.0,48
454,0.2299448549747467,0.2883767783641815,1.0,1.032704472541809,0.7321827411651611,0.01171875,0.06126518175005913,5.227962017059326,0.6304359436035156,15.161635398864746,225.34747314453125,0.0637580007314682,0.40347111225128174,6.5898237228393555,62.83333206176758,72.05140686035156,0.8895854949951172,12.160419464111328,0.00027374053024686873,5.4166669845581055,6.63999080657959,0.815764228322887,3.25,0.48945850826856246,0.8464117050170898,1.7406514883041382,1.726184606552124,-7.686837196350098,0.2605527639389038,0.433293879032135,0.25,0.7013788819313049,6.502379164885497e-06,9.79275324997365e-07,0.7634822726249695,2.0537521839141846,1.0,48
496,0.15857231616973877,0.20336808264255524,1.0,0.9978770017623901,0.8148983120918274,0.01025390625,0.07473525404930115,7.288466453552246,0.8501434326171875,20.286725997924805,263.9930114746094,0.057165034115314484,0.3806382119655609,6.73261833190918,97.33333587646484,68.3281478881836,0.9346299171447754,12.170486450195312,0.0002870899043045938,5.083333492279053,5.017577648162842,1.013105095445655,3.6875,0.7349163782250573,0.8633469343185425,2.051889181137085,2.1176199913024902,-10.143301010131836,0.29604101181030273,0.29716846346855164,0.02083333395421505,0.318807989358902,1.0813269000209402e-05,2.155077556720591e-06,0.5569407343864441,2.805736780166626,1.0,48
504,0.13646383583545685,0.18113116919994354,1.0,1.0163564682006836,0.8185812830924988,0.00390625,0.025380700826644897,6.497459411621094,0.4238767921924591,9.72027587890625,332.6308288574219,0.02555946074426174,0.2664346694946289,6.395210266113281,93.375,57.392784118652344,0.8122414350509644,12.16099739074707,0.00028430813108570874,3.0625,5.878846168518066,0.5209355555501185,2.125,0.361465487524572,0.783160388469696,1.9844030141830444,1.9195287227630615,-12.179953575134277,0.31344491243362427,0.39098113775253296,0.1666666716337204,0.5574373602867126,1.2814081856049597e-05,2.17969333895376e-06,0.7193463444709778,1.0829099416732788,1.0,48
