feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,stab_signed,stab_abs,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx
49,0.46061983704566956,0.5075934529304504,1.0000554323196411,1.3055983781814575,0.40569621324539185,0.009765625,0.01105227880179882,1.1317533254623413,0.14722712337970734,4.427458763122559,471.55023193359375,0.05492175742983818,0.35066285729408264,7.018289089202881,79.9000015258789,29.958751678466797,0.6648026704788208,10.534355163574219,0.0011657439172267914,18.52083396911621,7.336623191833496,2.5244357601038674,0.30774417519569397,0.30774417519569397,0.0005629905499517918,7.67370129913575e-05,0.388182669878006,0.4590611159801483,1.0,48
126,0.4339897334575653,0.5369232296943665,1.000056505203247,2.184908866882324,0.3063611388206482,0.0029296875,0.005290818866342306,1.805932879447937,0.13834528625011444,5.39556360244751,1207.5096435546875,0.020013848319649696,0.17618611454963684,5.941590309143066,80.0,49.57696533203125,1.3388164043426514,10.522846221923828,0.001355583779513836,15.291666984558105,4.076497554779053,3.7511777553059615,0.617668628692627,0.617668628692627,7.831638504285365e-05,1.9211684490997217e-05,0.3997282087802887,0.22574160993099213,1.0,48
187,0.37359949946403503,0.4638161063194275,1.0000014305114746,1.4042932987213135,0.44264286756515503,0.00537109375,0.004660224542021751,0.8676490783691406,0.08417017757892609,2.871030330657959,722.3285522460938,0.03342986851930618,0.2678123116493225,5.837474346160889,59.3636360168457,45.44187927246094,1.2009357213974,10.53355598449707,0.0011760713532567024,13.625,4.52147102355957,3.0133998202955623,0.6023613214492798,0.6023613214492798,0.00010821182513609529,2.393288032432766e-05,0.3937125504016876,0.19883625209331512,1.0,48
327,0.35466328263282776,0.49386316537857056,1.000040054321289,1.218561053276062,0.49039578437805176,0.00341796875,0.0037941490299999714,1.1100596189498901,0.08357129991054535,2.6465017795562744,742.5338134765625,0.02282176911830902,0.21135888993740082,6.0325140953063965,65.71428680419922,44.58991622924805,1.2489393949508667,10.512411117553711,0.001454631914384663,11.3125,3.8004119396209717,2.976650992040017,0.5887775421142578,0.5887775421142578,7.908347470220178e-05,2.0809184833262367e-05,0.4058951437473297,0.16188369691371918,1.0,48
372,0.4543975293636322,0.5332961678504944,1.0000320672988892,0.8855603933334351,0.5713434219360352,0.04638671875,0.03329674154520035,0.7178076505661011,0.19283418357372284,3.130570650100708,70.11788940429688,0.18773546814918518,0.5585079193115234,8.050586700439453,80.4000015258789,26.401182174682617,0.632702112197876,10.529497146606445,0.0012349756434559822,18.354167938232422,6.638151168823242,2.764951783078568,0.3135288953781128,0.3160918354988098,0.0004068973648827523,6.129679091684739e-05,0.3843996524810791,0.56354820728302,1.0,48
373,0.3490704596042633,0.43926873803138733,1.0000282526016235,1.3573598861694336,0.44097429513931274,0.00341796875,0.009073265828192234,2.654578447341919,0.17858168482780457,4.68440580368042,494.0245361328125,0.02282176911830902,0.23073846101760864,6.24688720703125,89.0,36.66676712036133,1.062821626663208,10.525739669799805,0.0012767112348228693,8.375,3.732255458831787,2.243951430961775,0.5639464855194092,0.5639464855194092,7.61443079682067e-05,2.040168702386287e-05,0.4307440519332886,0.38712599873542786,1.0,48
503,0.36198779940605164,0.620281994342804,1.0000519752502441,2.5534989833831787,0.3798238933086395,0.0166015625,0.03937190771102905,2.3715784549713135,0.3560727536678314,5.792791366577148,136.58755493164062,0.08450048416852951,0.43790391087532043,6.887158393859863,92.05882263183594,39.83533477783203,1.0958515405654907,10.55136489868164,0.0011336449533700943,10.833333969116211,3.9402222633361816,2.749422042108208,0.5341295003890991,0.5421192646026611,9.566529479343444e-05,2.427916197540672e-05,0.3692944645881653,1.189026951789856,1.0,48
600,0.46968361735343933,0.7700208425521851,1.0000367164611816,1.3672953844070435,0.5377390384674072,0.02001953125,0.04966436326503754,2.4807956218719482,0.5283994674682617,10.255407333374023,197.70602416992188,0.09811511635780334,0.4083981215953827,7.367766380310059,67.95121765136719,36.732810974121094,2.247246026992798,10.501035690307617,0.0018656303873285651,7.770833492279053,3.069573402404785,2.5315678917713766,0.6193965077400208,0.6193965077400208,5.5281743698287755e-05,1.800958513482125e-05,0.3706147074699402,1.8303176164627075,1.0,48
638,0.4339107573032379,0.5022024512290955,1.0000234842300415,1.2410838603973389,0.45234590768814087,0.03466796875,0.03929031640291214,1.1333318948745728,0.28270795941352844,3.8433897495269775,94.42861938476562,0.15061156451702118,0.5058014392852783,7.799237251281738,84.32394409179688,29.78896713256836,0.9489341974258423,10.517671585083008,0.0015738510992377996,19.5625,7.055462837219238,2.772674227561151,0.3056332767009735,0.3058624267578125,0.00044684260501526296,6.33328549368489e-05,0.43629103899002075,0.910214364528656,1.0,48
661,0.39056017994880676,0.6154675483703613,1.0000513792037964,1.4026907682418823,0.4828881621360779,0.0078125,0.016877515241503716,2.1603219509124756,0.27985724806785583,8.299736022949219,510.89141845703125,0.04568839073181152,0.29152441024780273,6.856884479522705,80.0,36.75946807861328,1.5279591083526611,10.525221824645996,0.0017769397236406803,13.375,3.9061503410339355,3.424087348931593,0.5090010762214661,0.5090010762214661,0.00013146873970981687,3.3656855956662765e-05,0.3334747552871704,0.72010737657547,1.0,48
776,0.32613998651504517,0.47477152943611145,1.0000596046447754,0.9969750642776489,0.5160180926322937,0.00830078125,0.008321027271449566,1.002439022064209,0.10852228850126266,2.5589513778686523,269.1165466308594,0.04803864285349846,0.3431304097175598,6.74837589263916,79.11764526367188,46.913082122802734,0.8320750594139099,10.543708801269531,0.0009148850804194808,12.291666984558105,3.969120979309082,3.096823457300997,0.6572688817977905,0.6572688817977905,8.657060971017927e-05,2.181102817055947e-05,0.2920442223548889,0.3503212034702301,1.0,48
919,0.34687262773513794,0.47220543026924133,1.0000545978546143,1.8256008625030518,0.3557525873184204,0.0078125,0.026608221232891083,3.4058523178100586,0.39074283838272095,10.265496253967285,375.9013977050781,0.04568839073181152,0.31753435730934143,6.82222843170166,93.875,43.11171340942383,1.0172237157821655,10.538299560546875,0.0011894464259967208,13.833333969116211,4.145813941955566,3.3366991691923547,0.6301305294036865,0.6301305294036865,0.00012140054604969919,2.928268066453753e-05,0.44375282526016235,1.135284185409546,1.0,48
