feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,stab_signed,stab_abs,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx
64,0.3290845453739166,0.46367624402046204,1.0000442266464233,1.056663155555725,0.5850256085395813,0.0087890625,0.010039553046226501,1.1422780752182007,0.1604643315076828,4.5631890296936035,521.4174194335938,0.05035991966724396,0.3105350136756897,6.739232063293457,65.27777862548828,41.161521911621094,1.2808204889297485,10.512451171875,0.001610409701243043,7.9375,3.725044012069702,2.1308473008568045,0.5667704939842224,0.5667704939842224,9.046713239513338e-05,2.4286191480998444e-05,0.38507843017578125,0.42509129643440247,1.0,48
66,0.30414292216300964,0.40196430683135986,1.0000452995300293,1.3363360166549683,0.47978144884109497,0.009765625,0.013649526052176952,1.3977115154266357,0.21071630716323853,5.8140058517456055,437.7287292480469,0.05492175742983818,0.31251010298728943,6.856736660003662,71.3499984741211,37.290557861328125,1.3381495475769043,10.517991065979004,0.001636189641430974,8.270833969116211,4.015198707580566,2.059881602597233,0.5547930598258972,0.5547930598258972,0.00013169685553293675,3.2799585972246266e-05,0.3751583397388458,0.5774057507514954,1.0,48
163,0.5116633772850037,0.5940130949020386,1.0000416040420532,2.4039666652679443,0.32409149408340454,0.00244140625,0.017740696668624878,7.266589164733887,0.4855894446372986,18.363101959228516,1130.66455078125,0.01712392456829548,0.15451979637145996,5.481819152832031,65.5999984741211,44.588443756103516,1.1583012342453003,10.549022674560547,0.001026867306791246,14.208333969116211,3.562162399291992,3.988682248752445,0.5762118697166443,0.5762118697166443,6.022773959557526e-05,1.6907634373567486e-05,0.37455037236213684,0.7569363117218018,1.0,48
221,0.20716777443885803,0.24607700109481812,1.0000275373458862,2.177428722381592,0.5006033778190613,0.00439453125,0.006016973871737719,1.369195818901062,0.11946303397417068,4.453392505645752,983.8497314453125,0.02823571488261223,0.2506818473339081,6.440295219421387,80.88888549804688,35.495445251464844,0.7918469905853271,10.521038055419922,0.0011294165160506964,3.25,3.46657133102417,0.9375257798790358,0.6307461261749268,0.6307461261749268,5.796125333290547e-05,1.672005207190725e-05,0.451712042093277,0.2567242383956909,1.0,48
283,0.38302430510520935,0.48168525099754333,1.0000630617141724,2.285184383392334,0.32845252752304077,0.00244140625,0.013241584412753582,5.423752784729004,0.3616715967655182,14.670938491821289,1353.51123046875,0.01712392456829548,0.162022203207016,5.68973445892334,71.80000305175781,45.051025390625,0.8159267902374268,10.524959564208984,0.0009984319331124425,11.625,3.866896629333496,3.006286716265502,0.568556010723114,0.568556010723114,7.820994505891576e-05,2.0225507003051457e-05,0.39149606227874756,0.5649742484092712,1.0,48
466,0.32949545979499817,0.41886386275291443,1.0000816583633423,2.0523643493652344,0.3739579916000366,0.00244140625,0.003949953708797693,1.617901086807251,0.09409040957689285,3.4157559871673584,937.145751953125,0.01712392456829548,0.1862553060054779,5.848718643188477,87.5999984741211,42.63102340698242,0.8560734987258911,10.519160270690918,0.0010709345806390047,8.166666984558105,3.5026583671569824,2.3315625177202635,0.6035810708999634,0.6035810708999634,6.618358020205051e-05,1.88952427201222e-05,0.4787708520889282,0.1685313582420349,1.0,48
522,0.3642665445804596,0.4590967893600464,1.0000264644622803,1.7793887853622437,0.4156855344772339,0.0078125,0.022628191858530045,2.8964085578918457,0.35272666811943054,11.809725761413574,667.8176879882812,0.04568839073181152,0.31412750482559204,6.7133989334106445,75.0,33.57537841796875,1.3113771677017212,10.5243558883667,0.0014293434796854854,8.1875,3.3739781379699707,2.426660648328796,0.5541716814041138,0.5541716814041138,6.388051406247541e-05,1.8933292173486824e-05,0.42579835653305054,0.9654694199562073,1.0,48
804,0.36784783005714417,0.4310184121131897,1.000036358833313,1.5028256177902222,0.38235563039779663,0.00341796875,0.012438611127436161,3.6391823291778564,0.293498694896698,10.258505821228027,901.5115966796875,0.02282176911830902,0.19755570590496063,6.1283860206604,79.57142639160156,40.2656135559082,1.0613216161727905,10.519203186035156,0.0013410032261162996,9.604166984558105,3.519188642501831,2.729085574236094,0.5529316663742065,0.5529316663742065,6.20174323557876e-05,1.762265069583545e-05,0.36530664563179016,0.5307140350341797,1.0,48
887,0.39719411730766296,0.5193039774894714,1.0000576972961426,1.8751556873321533,0.3487219214439392,0.01123046875,0.018007244914770126,1.603427767753601,0.2142452597618103,4.133586406707764,217.38218688964844,0.06158214434981346,0.37019145488739014,6.663991928100586,72.6956558227539,39.94087219238281,1.0802345275878906,10.526996612548828,0.0012319177621975541,15.583333969116211,4.16739559173584,3.7393459748878426,0.5906544923782349,0.5906544923782349,0.00011111408093711361,2.666271493179851e-05,0.3615667521953583,0.7231071591377258,1.0,48
901,0.44931110739707947,0.5521539449691772,1.0000274181365967,0.777830958366394,0.6053750514984131,0.04443359375,0.02990935742855072,0.6731248497962952,0.18035654723644257,2.412506341934204,69.2215805053711,0.18178698420524597,0.5510924458503723,8.072212219238281,80.46154022216797,32.83452224731445,0.8632399439811707,10.563665390014648,0.001449930015951395,12.354166984558105,3.5174198150634766,3.5122810466149454,0.5434477925300598,0.5434477925300598,7.52952037146315e-05,2.140637383633121e-05,0.38870105147361755,0.5512367486953735,1.0,48
