feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_w2,collateral_w2_per_effect,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_reconstruction_norm_ratio,resid_error_delta_norm,resid_change_explained_energy,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx
42,0.1622684746980667,0.262653112411499,0.33241188526153564,5.983019828796387,0.4926401376724243,0.00244140625,0.006366127636283636,2.6075658798217773,0.12984448671340942,3.2619142532348633,436.8020935058594,0.01712392456829548,0.20998091995716095,4.684890270233154,31.400001525878906,1.712207317352295,0.02880450151860714,11.4656982421875,0.0004891327116638422,2.3958334922790527,14.228270530700684,0.16838543274993614,5.435878753662109,0.3820477505057628,1.1875,0.08346060026080446,0.34529659152030945,0.9558548927307129,0.5015866160392761,-1.7641520500183105,0.2194698303937912,0.2194698303937912,0.0,0.11422083526849747,0.000531968311406672,3.738812175977044e-05,0.36111244559288025,0.271621435880661,1.0,48
79,0.2534940242767334,0.4188551902770996,0.33498281240463257,4.365241527557373,0.6382180452346802,0.00537109375,0.014389140531420708,2.6789963245391846,0.19939859211444855,3.5812458992004395,209.498046875,0.03342986851930618,0.3121793568134308,5.145041465759277,30.545454025268555,1.9892367124557495,0.04039545729756355,11.474836349487305,0.0005738129839301109,2.6875,18.90686798095703,0.1421441140481546,3.779503583908081,0.19990109338658207,1.4375,0.07603057263040827,0.3803858757019043,1.0627362728118896,0.5899626612663269,-2.342719793319702,0.1986943930387497,0.1986943930387497,0.0,0.3214736878871918,0.002576898317784071,0.0001362942989297104,0.7544981837272644,0.6139366626739502,1.0,48
184,0.25756368041038513,0.3611215651035309,0.1826881617307663,6.769686222076416,0.7220209836959839,0.02880859375,0.08715607970952988,3.0253500938415527,0.5331909656524658,7.345062255859375,53.18812942504883,0.1305760145187378,0.5288028717041016,6.67757511138916,33.25423812866211,0.8983107209205627,0.033245522528886795,11.45854663848877,0.001001708093099296,2.8333334922790527,11.502090454101562,0.24633204730235675,3.3117761611938477,0.28792819631614097,1.375,0.11954348683758177,0.25330525636672974,1.2224804162979126,0.42612212896347046,-3.07020902633667,0.19492380321025848,0.19551968574523926,0.02083333395421505,0.15837617218494415,0.0007717427797615528,6.709587115230832e-05,0.35228094458580017,1.430179476737976,1.0,48
288,0.25590184330940247,0.39383500814437866,0.2429920732975006,5.762172698974609,0.618125319480896,0.00244140625,0.00816906988620758,3.346050977706909,0.17199693620204926,4.586470603942871,527.5869140625,0.01712392456829548,0.20553931593894958,4.8587141036987305,29.799999237060547,1.4239469766616821,0.05761471390724182,11.47081184387207,0.0010693916119635105,2.2291667461395264,13.423721313476562,0.1660617568275175,7.333296775817871,0.5462938777634462,0.9375,0.06983905411984521,0.311205118894577,0.9212737083435059,0.4394640326499939,-1.734900951385498,0.2503059506416321,0.2503059506416321,0.0,0.14320038259029388,0.0008483444107696414,6.319740929707647e-05,0.32408276200294495,0.34854698181152344,1.0,48
377,0.21475625038146973,0.3163008689880371,0.3200717568397522,8.948155403137207,0.33787763118743896,0.0029296875,0.010353370569646358,3.5339505672454834,0.20015113055706024,5.264276027679443,448.4372863769531,0.020013848319649696,0.2284000664949417,4.7631049156188965,35.0,1.6215980052947998,0.026038862764835358,11.467535018920898,0.0004859391483478248,3.8333334922790527,17.580846786499023,0.21804032175756213,2.874999523162842,0.16353020741500102,2.4166667461395264,0.13746020166791803,0.3952758312225342,1.2438502311706543,0.6598588824272156,-2.6541247367858887,0.29977118968963623,0.3233420252799988,0.1041666716337204,0.3028907775878906,0.0016051189741119742,9.129929819032442e-05,0.48480525612831116,0.44174376130104065,1.0,48
512,0.2596888244152069,0.4524155557155609,0.28792354464530945,4.952341556549072,0.7548201084136963,0.0078125,0.024737488478422165,3.166398525238037,0.2911365330219269,5.388044357299805,171.85679626464844,0.04568839073181152,0.35803622007369995,5.877902030944824,36.4375,1.481549620628357,0.023086944594979286,11.464337348937988,0.00047984879347495735,1.625,13.837423324584961,0.11743515831726486,3.999880790710449,0.28906254394293424,0.7708333730697632,0.05570642412472549,0.31589943170547485,1.2811739444732666,0.5571041703224182,-3.469236373901367,0.19254235923290253,0.19254235923290253,0.0,0.12161193788051605,0.0008750176057219505,6.32355883436008e-05,0.463062047958374,1.0554661750793457,1.0,48
655,0.20282940566539764,0.3424346148967743,0.2729632258415222,4.549612045288086,0.7051199674606323,0.00537109375,0.01716788485646248,3.196347951889038,0.2506590783596039,6.212044715881348,316.6786193847656,0.03342986851930618,0.3057183623313904,5.491223335266113,32.09090805053711,1.4053515195846558,0.03397352620959282,11.463890075683594,0.0006670503644272685,1.7708333730697632,13.391120910644531,0.13223936842656264,3.9080893993377686,0.2918418422548056,0.9583333730697632,0.07156483603940433,0.32476234436035156,1.1901893615722656,0.5545423030853271,-3.153400421142578,0.2421458661556244,0.2421458661556244,0.0,0.14681553840637207,0.0008710931870155036,6.505005758499093e-05,0.264069139957428,0.732496440410614,1.0,48
1043,0.2147068977355957,0.30901917815208435,0.2597983777523041,4.702906608581543,0.7607175707817078,0.00341796875,0.012179994955658913,3.563518524169922,0.21434614062309265,5.4656243324279785,371.85968017578125,0.02282176911830902,0.25145423412323,4.937254905700684,28.14285659790039,1.336313009262085,0.037539638578891754,11.460336685180664,0.0008653939585201442,2.0208334922790527,14.84167766571045,0.1361593706880121,3.351041793823242,0.22578591632585315,1.0,0.06737782761827371,0.3157326579093933,1.312056303024292,0.5417864322662354,-3.2095837593078613,0.23968109488487244,0.24259017407894135,0.0625,0.14178240299224854,0.0010198222007602453,6.871340444411233e-05,0.37391895055770874,0.5196797847747803,1.0,48
1135,0.2886043190956116,0.4786381721496582,0.33711326122283936,5.358462810516357,0.5642224550247192,0.00341796875,0.012789175845682621,3.7417473793029785,0.24380895495414734,8.153639793395996,681.3880615234375,0.02282176911830902,0.24210822582244873,4.856245040893555,31.428569793701172,1.7094106674194336,0.03880158066749573,11.4566011428833,0.0005977197433821857,2.4583334922790527,17.964462280273438,0.13684425687542437,4.906670570373535,0.2731320587886547,1.25,0.06958182103100252,0.40608906745910645,1.128217339515686,0.6201271414756775,-1.819692611694336,0.26330816745758057,0.26330816745758057,0.0,0.1695643663406372,0.0008355336030945182,4.6510359708729166e-05,0.4913555085659027,0.5456715226173401,1.0,48
1152,0.23568271100521088,0.39792898297309875,0.261839359998703,6.690213680267334,0.522239089012146,0.00244140625,0.008421596139669418,3.4494857788085938,0.18247589468955994,5.975428581237793,682.2296752929688,0.01712392456829548,0.20228087902069092,4.863607406616211,33.20000076293945,1.2950880527496338,0.020015260204672813,11.462862968444824,0.0004911385476589203,2.3333334922790527,12.742254257202148,0.18311779402212391,5.424910545349121,0.4257418217836492,1.0416667461395264,0.0817490158566933,0.294140487909317,1.3492865562438965,0.5252609848976135,-3.428981304168701,0.1970793902873993,0.1970793902873993,0.0,0.2027040421962738,0.0007095751352608204,5.5686781976029714e-05,0.2786462604999542,0.3593214452266693,1.0,48
