alpha,feature,positive_probability,degenerate_rate,gain,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,discovery_selectivity,predicted_collateral,predicted_residual_collateral
1.0,906,0.6665209202377204,0.0,-0.16562205392498675,0.3643414,0.4983944,1.0000341,1.3883637,0.39058352,0.0087890625,0.011638192,1.3241677,0.18360247,5.5398335,538.8558,0.05035992,0.31470206,6.641223,65.44444,42.4186,1.0378828,10.515504,0.0012634406,0.9038265,12.49496425003746,0.33554582879541117
1.0,2083,0.8333808421545351,0.0,0.0012378679918280122,0.3159094,0.46128297,1.000046,2.2197258,0.40591222,0.0024414062,0.0029667993,1.215201,0.07575872,2.9509063,1173.6249,0.017123925,0.17501415,6.0973816,91.4,34.84776,3.257655,10.49223,0.0027130414,0.18519397,4.432018821149535,-5.558517427018734
1.0,2643,0.9153113640592588,0.0,0.08316838989655173,0.33232957,0.48884282,1.0000316,2.202213,0.4403447,0.0043945312,0.00656785,1.4945507,0.13703138,4.4421124,789.56714,0.028235715,0.2363353,6.5665274,90.111115,34.55186,0.9408347,10.527874,0.001208615,0.047108524,7.755714107556374,-2.4407002083345364
1.0,2761,0.8322594841883983,0.0,0.00011651002569124103,0.31474796,0.37731,1.0000432,1.0976474,0.48705477,0.0073242188,0.0037983833,0.51860595,0.06033375,1.8649863,556.56537,0.043307357,0.30468127,6.611042,64.53333,44.491066,1.1157122,10.519659,0.0012000216,0.3545644,10.810785600956804,-0.9571388983807962
1.0,3661,0.8316576116388509,0.0,-0.00048536252385622536,0.43529072,0.49661335,0.99999446,1.2534873,0.44219416,0.0073242188,0.007385801,1.0084081,0.12360891,3.3503609,489.08728,0.043307357,0.29205596,6.7993574,78.46667,31.871498,0.75186265,10.529659,0.0011830169,0.33519623,13.072620635099973,1.1377313218970695
1.0,4637,0.832650752029925,0.0,0.0005077778672178956,0.30637237,0.4870594,1.0000345,1.0249588,0.5714221,0.0126953125,0.012135476,0.9559021,0.16941911,4.4728622,418.23102,0.068048745,0.35004848,7.088505,71.57692,50.157597,1.3880314,10.517115,0.0013965704,0.7939487,9.001721821539036,-3.234205841009973
1.0,5222,0.6669264377463454,0.0,-0.1652165364163617,0.3829442,0.46018258,1.000033,1.5331336,0.48220193,0.0063476562,0.010870793,1.712568,0.15871772,3.2480829,271.8366,0.03844451,0.30779138,6.841205,87.23077,66.18334,1.6511645,10.565223,0.001105842,0.41923234,11.46877115346243,-1.9752634955746455
1.0,5799,0.6681128133835349,0.0,-0.1640301607791722,0.46605894,0.52238077,1.0000539,1.210882,0.42116296,0.0126953125,0.009389477,0.73960185,0.10458714,1.8878605,203.63579,0.068048745,0.38818443,6.7632375,60.423077,32.51827,0.90970373,10.5274105,0.0013633557,0.0500421,16.256830959486546,4.103446059792822
1.0,6882,0.9141737222331964,0.0,0.08203074807048927,0.36820683,0.51178646,1.0000482,1.6106931,0.48771513,0.008300781,0.01634017,1.9685099,0.21915375,4.9531217,301.43723,0.048038643,0.3388509,7.082926,95.05882,31.704063,0.7847022,10.52808,0.0012708339,0.33872357,9.898806070571016,-0.9011728979258808
1.0,7290,0.7502163620423138,0.0,-0.08192661212039332,0.3176023,0.4491131,1.0000479,1.0622927,0.5204026,0.005859375,0.0068137627,1.1628822,0.11956943,3.7320569,585.69763,0.03595768,0.27455866,6.5507984,74.833336,37.72086,0.9173238,10.525217,0.0012300169,0.39103165,10.16111185370896,-0.9384020702057405
1.0,8097,0.6652936163930766,0.0,-0.1668493577696305,0.46278962,0.6622032,1.0000275,1.1314999,0.4730124,0.017089844,0.019629128,1.1485844,0.19780138,4.5430408,215.08574,0.086486176,0.41737166,7.329465,73.942856,36.4808,1.0020587,10.532896,0.0012781261,1.243218,14.54786853673585,2.182946595225728
1.0,8156,0.832665185832108,0.0,0.0005222116694009182,0.43491554,0.5340256,1.000052,1.1886901,0.4635886,0.0048828125,0.004557007,0.93327504,0.09472262,3.1971262,744.8734,0.030857366,0.22884959,6.570891,82.7,37.82889,1.0375451,10.509584,0.0013940384,0.34364444,11.847259131612297,0.13671742739676235
1.0,8569,0.7672284516011132,0.0,-0.06491452256159391,0.37675205,0.44619602,1.0000343,1.2572631,0.39821994,0.0029296875,0.00213471,0.7286477,0.055774327,2.2028408,1242.6351,0.020013848,0.17632678,6.17541,87.166664,31.579536,0.76439494,10.529767,0.0012567651,0.3416068,12.474787094556582,1.1327657915105005
