feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_reconstruction_norm_ratio,resid_error_delta_norm,resid_change_explained_energy,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx
49,0.4606198370456695,0.5075934529304504,1.0000554323196411,1.3055983781814575,0.4056962132453918,0.009765625,0.0110522788017988,1.1317533254623413,0.1472271233797073,4.427458763122559,471.55023193359375,0.0549217574298381,0.3506628572940826,7.018289089202881,79.9000015258789,29.9587516784668,0.6648026704788208,10.53435516357422,0.0011657439172267,18.52083396911621,7.336623191833496,2.5244357601038674,17.9375,2.4449258884546827,2.1806342601776123,0.6273333430290222,1.9492782354354856,0.1998859047889709,0.3077441751956939,0.3077441751956939,0.0,0.1350694596767425,0.0005629905499517,7.67370129913575e-05,0.388182669878006,0.4590611159801483,1.0,48
126,0.4339897334575653,0.5369232296943665,1.000056505203247,2.184908866882324,0.3063611388206482,0.0029296875,0.0052908188663423,1.805932879447937,0.1383452862501144,5.39556360244751,1207.5096435546875,0.0200138483196496,0.1761861145496368,5.941590309143066,80.0,49.57696533203125,1.3388164043426514,10.522846221923828,0.0013555837795138,15.291666984558104,4.076497554779053,3.7511777553059615,14.791666984558104,3.6285234443307752,1.1494381427764893,1.2137494087219238,1.6703671216964722,-1.1339097023010254,0.617668628692627,0.617668628692627,0.0,0.2423581928014755,7.831638504285365e-05,1.9211684490997217e-05,0.3997282087802887,0.2257416099309921,1.0,48
187,0.373599499464035,0.4638161063194275,1.0000014305114746,1.4042932987213137,0.442642867565155,0.00537109375,0.0046602245420217,0.8676490783691406,0.084170177578926,2.871030330657959,722.3285522460938,0.0334298685193061,0.2678123116493225,5.837474346160889,59.3636360168457,45.44187927246094,1.2009357213974,10.53355598449707,0.0011760713532567,13.625,4.52147102355957,3.0133998202955623,13.145833969116213,2.907424126251016,1.260250449180603,0.8924312591552734,1.6367948055267334,-0.7098710536956787,0.6023613214492798,0.6023613214492798,0.0,0.243920013308525,0.000108211825136,2.393288032432766e-05,0.3937125504016876,0.1988362520933151,1.0,48
327,0.3546632826328277,0.4938631653785705,1.000040054321289,1.218561053276062,0.4903957843780517,0.00341796875,0.0037941490299999,1.11005961894989,0.0835712999105453,2.6465017795562744,742.5338134765625,0.022821769118309,0.2113588899374008,6.0325140953063965,65.71428680419922,44.58991622924805,1.2489393949508667,10.512411117553713,0.0014546319143846,11.3125,3.800411939620972,2.976650992040017,10.979166984558104,2.8889412858658905,1.1001908779144287,0.7978435754776001,1.2698534727096558,-0.3491719961166382,0.5887775421142578,0.5887775421142578,0.0,0.213406041264534,7.908347470220178e-05,2.0809184833262367e-05,0.4058951437473297,0.1618836969137191,1.0,48
372,0.4543975293636322,0.5332961678504944,1.0000320672988892,0.8855603933334351,0.5713434219360352,0.04638671875,0.0332967415452003,0.7178076505661011,0.1928341835737228,3.130570650100708,70.11788940429688,0.1877354681491851,0.5585079193115234,8.050586700439453,80.4000015258789,26.401182174682617,0.632702112197876,10.529497146606444,0.0012349756434559,18.354167938232425,6.638151168823242,2.764951783078568,17.8125,2.6833525661218305,1.972360372543335,0.5927752256393433,1.7322349548339844,0.2298130393028259,0.3135288953781128,0.3160918354988098,0.020833333954215,0.1422872543334961,0.0004068973648827,6.129679091684739e-05,0.3843996524810791,0.56354820728302,1.0,48
373,0.3490704596042633,0.4392687380313873,1.0000282526016235,1.3573598861694336,0.4409742951393127,0.00341796875,0.0090732658281922,2.654578447341919,0.1785816848278045,4.68440580368042,494.0245361328125,0.022821769118309,0.2307384610176086,6.24688720703125,89.0,36.66676712036133,1.062821626663208,10.525739669799805,0.0012767112348228,8.375,3.732255458831787,2.243951430961775,8.229166984558105,2.2048777349997084,1.1131048202514648,0.7974979281425476,1.250414252281189,-0.2798049449920654,0.5639464855194092,0.5639464855194092,0.0,0.1604158580303192,7.61443079682067e-05,2.040168702386287e-05,0.4307440519332886,0.3871259987354278,1.0,48
503,0.3619877994060516,0.620281994342804,1.000051975250244,2.5534989833831787,0.3798238933086395,0.0166015625,0.039371907711029,2.371578454971313,0.3560727536678314,5.792791366577148,136.58755493164062,0.0845004841685295,0.4379039108753204,6.887158393859863,92.05882263183594,39.83533477783203,1.0958515405654907,10.55136489868164,0.00113364495337,10.833333969116213,3.9402222633361816,2.749422042108208,10.458333969116213,2.654249746236055,1.0954879522323608,0.9088531732559204,1.2595069408416748,-0.3435437679290771,0.5341295003890991,0.5421192646026611,0.020833333954215,0.3506911396980285,9.566529479343444e-05,2.427916197540672e-05,0.3692944645881653,1.189026951789856,1.0,48
600,0.4696836173534393,0.7700208425521851,1.0000367164611816,1.3672953844070437,0.5377390384674072,0.02001953125,0.0496643632650375,2.480795621871948,0.5283994674682617,10.255407333374023,197.70602416992188,0.0981151163578033,0.4083981215953827,7.367766380310059,67.95121765136719,36.73281097412109,2.247246026992798,10.501035690307615,0.0018656303873285,7.770833492279053,3.069573402404785,2.5315678917713766,7.645833492279053,2.4908456208868137,1.018599271774292,0.924733817577362,1.1653707027435305,-0.3488384485244751,0.6193965077400208,0.6193965077400208,0.0,0.1900310069322586,5.528174369828776e-05,1.800958513482125e-05,0.3706147074699402,1.8303176164627075,1.0,48
638,0.4339107573032379,0.5022024512290955,1.0000234842300415,1.2410838603973389,0.4523459076881408,0.03466796875,0.0392903164029121,1.1333318948745728,0.2827079594135284,3.8433897495269775,94.42861938476562,0.1506115645170211,0.5058014392852783,7.799237251281738,84.32394409179688,29.78896713256836,0.9489341974258424,10.517671585083008,0.0015738510992377,19.5625,7.055462837219238,2.772674227561151,18.75,2.6575152340841703,2.1576457023620605,0.6565561294555664,2.055199384689331,0.0903047323226928,0.3056332767009735,0.3058624267578125,0.020833333954215,0.1538262367248535,0.0004468426050152,6.33328549368489e-05,0.4362910389900207,0.910214364528656,1.0,48
661,0.3905601799488067,0.6154675483703613,1.0000513792037964,1.4026907682418823,0.4828881621360779,0.0078125,0.0168775152415037,2.160321950912476,0.2798572480678558,8.299736022949219,510.8914184570313,0.0456883907318115,0.2915244102478027,6.856884479522705,80.0,36.75946807861328,1.5279591083526611,10.525221824645996,0.0017769397236406,13.375,3.906150341033936,3.424087348931593,12.833333969116213,3.285417307533823,1.179321050643921,0.8744696974754333,1.2585935592651367,-0.1260696649551391,0.5090010762214661,0.5090010762214661,0.0,0.1395817101001739,0.0001314687397098,3.3656855956662765e-05,0.3334747552871704,0.72010737657547,1.0,48
