setting,target,control,predictor,rho,p,ci_lo,ci_hi,n,k_controls,controls,n_boot,n_boot_valid,p_holm,q_bh
gemma_2_2b,collateral_raw,none,crowding,0.5121418516406644,1.8455453091309713e-21,0.4108499086820373,0.6053286300477736,300,0,,10000,10000,3.3219815564357487e-20,1.7532680436744227e-20
gemma_2_2b,collateral_raw,none,crowd_max,0.39677286214637764,9.416430492501985e-13,0.2832962244301747,0.5013532085032477,300,0,,10000,10000,1.4124645738752977e-11,3.5782435871507544e-12
gemma_2_2b,collateral_raw,none,dec_norm,-0.006108616106819841,0.9160872835390703,-0.12049488538337992,0.1066705394800103,300,0,,10000,10000,1.0,0.9160872835390703
gemma_2_2b,collateral_raw,none,enc_norm,0.37210276545881765,2.762012802083106e-11,0.27525343566497446,0.4592867729491681,300,0,,10000,10000,3.0382140822914167e-10,5.83091591550878e-11
gemma_2_2b,collateral_raw,none,enc_dec_cos,-0.5557253285249141,1.033980762117192e-25,-0.6305821142433445,-0.4706203921701031,300,0,,10000,10000,1.9645634480226646e-24,1.9645634480226646e-24
gemma_2_2b,collateral_raw,none,frequency,0.3794187482893254,1.0443575647715252e-11,0.27325718089411166,0.4762451474197168,300,0,,10000,10000,1.4621005906801352e-10,2.8346848186655684e-11
gemma_2_2b,collateral_raw,none,bin_entropy,0.3794187482893254,1.0443575647715252e-11,0.27325718089411166,0.4762451474197168,300,0,,10000,10000,1.4621005906801352e-10,2.8346848186655684e-11
gemma_2_2b,collateral_raw,none,act_entropy,0.36580116325398604,6.260832350832531e-11,0.2578400732929528,0.46326515778703553,300,0,,10000,10000,6.26083235083253e-10,1.189558146658181e-10
gemma_2_2b,collateral_raw,none,act_kurtosis,-0.2983618413648964,1.389396862344819e-07,-0.39809995193009234,-0.1891519578302206,300,0,,10000,10000,1.1115174898758552e-06,2.199878365379297e-07
gemma_2_2b,collateral_raw,none,act_mag,0.4863251945615527,3.2396633323065985e-19,0.3905648613522453,0.5721720895328319,300,0,,10000,10000,5.1834613316905575e-18,1.5388400828456343e-18
gemma_2_2b,collateral_raw,none,act_mean_firing,0.3754217959613272,1.782037267359559e-11,0.2718229604398767,0.47077710657099103,300,0,,10000,10000,2.1384447208314706e-10,4.232338509978952e-11
gemma_2_2b,collateral_raw,none,act_std,0.4877925905045102,2.443215531619794e-19,0.3924050993348874,0.5745720458727659,300,0,,10000,10000,4.15346640375365e-18,1.5388400828456343e-18
gemma_2_2b,collateral_raw,none,act_max,0.32354936048936433,9.713625866603713e-09,0.2172169739335112,0.4241580257659205,300,0,,10000,10000,8.742263279943342e-08,1.6778081042315505e-08
gemma_2_2b,collateral_raw,none,coact_entropy,0.14008888164919683,0.015171169357725093,0.025017607043768233,0.2517315142658989,300,0,,10000,10000,0.07585584678862546,0.019216814519785116
gemma_2_2b,collateral_raw,none,coact_count,-0.16419494770048035,0.004352103277694709,-0.2740116262773388,-0.050703834621773684,300,0,,10000,10000,0.026112619666168253,0.0059064258768713905
gemma_2_2b,collateral_raw,none,logit_l2,0.22210480991580858,0.00010468294086421915,0.10600668915106637,0.32968232152656424,300,0,,10000,10000,0.000732780586049534,0.0001529981443400126
gemma_2_2b,collateral_raw,none,logit_linf,0.08643902144128596,0.13525022863561575,-0.032194207264084444,0.19959471597688366,300,0,,10000,10000,0.541000914542463,0.1592374770622706
gemma_2_2b,collateral_raw,none,logit_entropy,0.015144206763828185,0.793918770601142,-0.09656104217247,0.12566136244713608,300,0,,10000,10000,1.0,0.8380253689678722
gemma_2_2b,collateral_raw,none,logit_top10_mass,-0.08487762148744385,0.14247563737150526,-0.193809916666841,0.02777345062494731,300,0,,10000,10000,0.541000914542463,0.1592374770622706
gemma_2_2b,collateral_raw,primary,crowding,0.23989659934660434,2.9403246196009972e-05,0.11888799244931893,0.35934696040179004,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,0.00047045193913615956,0.00017641947717605985
gemma_2_2b,collateral_raw,primary,crowd_max,0.1519887405680708,0.00870212240356724,0.033076402658133754,0.2721164061942642,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,0.11312759124637412,0.026106367210701722
gemma_2_2b,collateral_raw,primary,dec_norm,0.059274997538862916,0.3086235136426248,-0.06552388190626411,0.1831816138114551,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.4629352704639372
gemma_2_2b,collateral_raw,primary,enc_norm,0.07029721205394167,0.2270986963813648,-0.04343411253557016,0.1828207026657674,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.37161604862405145
gemma_2_2b,collateral_raw,primary,enc_dec_cos,-0.44994803631066727,3.288135355969697e-16,-0.5482397629530092,-0.3382531295206413,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,5.918643640745455e-15,5.918643640745455e-15
gemma_2_2b,collateral_raw,primary,bin_entropy,,,,,300,3,"effect_l2,ctx_mean_act,frequency",10000,0,,
gemma_2_2b,collateral_raw,primary,act_entropy,0.05445654850293735,0.34967298595522806,-0.0519507333210249,0.15458069180790965,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.4841625959380081
gemma_2_2b,collateral_raw,primary,act_kurtosis,-0.10168043723110022,0.080208706476301,-0.20578429011265487,0.00039640629536936723,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,0.721878358286709,0.1443756716573418
gemma_2_2b,collateral_raw,primary,act_mag,0.041893742276071094,0.47198383833625873,-0.07816582015546615,0.15901847632840865,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.5663806060035105
