feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_sae_frac,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx
126,0.3971406817436218,0.4564843773841858,0.9999999403953552,1.4469830989837646,0.5252593159675598,0.009765625,0.005864354781806469,0.6005099415779114,0.09392973780632019,3.054150104522705,642.8326416015625,0.05492175742983818,0.3156740665435791,6.554227352142334,73.30000305175781,169.51275634765625,8.603974342346191,10.203840255737305,0.0050710709765553474,22.95833396911621,34.430999755859375,0.6667925452423523,17.27083396911621,0.5016071007685752,1.7833192348480225,0.8796362280845642,0.7292892932891846,0.7292892932891846,0.0,0.3819970190525055,0.011934973299503326,0.0003466345264634937,0.44625261425971985,0.2462475746870041,1.0,48
223,0.5500428080558777,0.7056220769882202,1.0,0.7507638335227966,0.6549824476242065,0.00927734375,0.0028523108921945095,0.3074491024017334,0.03808970749378204,0.913124144077301,342.4960632324219,0.05265381559729576,0.3451736867427826,6.69476842880249,71.2631607055664,77.00659942626953,2.29451322555542,10.528626441955566,0.0012210661079734564,17.916667938232422,38.56425476074219,0.46459261419010706,15.333333969116211,0.3976048301794038,1.3278868198394775,0.6425332427024841,0.8879148364067078,0.8879148364067078,0.0,0.3017957806587219,0.005877434276044369,0.00015240627132521287,0.28336355090141296,0.11900054663419724,1.0,48
284,0.3058057725429535,0.42315077781677246,1.0,0.7764350771903992,0.7006055116653442,0.02490234375,0.003333969507366419,0.13388176262378693,0.02642257697880268,0.3880637288093567,106.62073516845703,0.11654888093471527,0.476826012134552,7.183524131774902,79.66666412353516,97.29232025146484,3.1106767654418945,10.463662147521973,0.001798134413547814,25.375,40.444366455078125,0.6274050558292256,19.666667938232422,0.4862647052516868,1.720797061920166,0.8273801803588867,0.8506924510002136,0.8506924510002136,0.0,0.43555352091789246,0.008571397513151169,0.00021193056690731407,0.3470591902732849,0.08745425194501877,1.0,48
486,0.39887735247612,0.5394905805587769,1.0,1.1521222591400146,0.664055585861206,0.02001953125,0.003707065712660551,0.1851724535226822,0.03404298797249794,0.7285072207450867,176.24208068847656,0.09811511635780334,0.4424766004085541,7.103082656860352,69.65853881835938,81.36784362792969,1.901536226272583,10.50585651397705,0.0012961442116647959,24.604167938232422,31.781118392944336,0.7741756481405949,17.25,0.5427751088332338,1.613542079925537,0.7848615646362305,0.806621253490448,0.806621253490448,0.0,0.4048057794570923,0.0047252122312784195,0.00014867985988940702,0.4114110767841339,0.11446162313222885,1.0,48
506,0.5356070399284363,0.667957067489624,1.0,1.887632966041565,0.4374640882015228,0.00537109375,0.001227706205099821,0.22857657074928284,0.02719808928668499,1.0275568962097168,1081.100830078125,0.03342986851930618,0.23172138631343842,6.064304828643799,64.54545593261719,99.90543365478516,4.452057361602783,10.374926567077637,0.0031037195585668087,17.39583396911621,31.859054565429688,0.5460248020834935,13.729166984558105,0.430934538627091,1.3029091358184814,0.7735833525657654,0.7576203346252441,0.7576203346252441,0.0,0.3789640963077545,0.008080956526100636,0.00025364709134629573,0.35280412435531616,0.052382126450538635,1.0,48
507,0.38641127943992615,0.5125128030776978,0.9999999403953552,1.1743422746658325,0.5903093814849854,0.013671875,0.005005348939448595,0.3661055266857147,0.06584049761295319,1.9712475538253784,492.6988525390625,0.07226333767175674,0.36838147044181824,6.630892753601074,56.75,82.10780334472656,1.7331788539886475,10.52508544921875,0.0011053907219320536,19.229167938232422,45.23877716064453,0.42505941010956944,14.395833969116211,0.31821890133798036,1.7041521072387695,0.7690920829772949,0.7875000834465027,0.7875000834465027,0.0,0.418367475271225,0.008121035993099213,0.0001795149316805353,0.38572242856025696,0.19378481805324554,1.0,48
516,0.4385647475719452,0.5362486243247986,1.0,0.5958173274993896,0.7502241134643555,0.0302734375,0.003907819278538227,0.12908409535884857,0.028762327507138252,0.4344422221183777,103.82534790039062,0.13569138944149017,0.49854764342308044,7.308859825134277,70.48387145996094,76.70452880859375,2.3837056159973145,10.4574613571167,0.001972125843167305,14.729166984558105,23.67066192626953,0.6222541230243012,9.958333969116211,0.42070365399699644,1.3950746059417725,0.8358453512191772,0.7821358442306519,0.7821358442306519,0.0,0.500966489315033,0.004558997228741646,0.00019260117190707252,0.4701314866542816,0.09231986850500107,1.0,48
668,0.4167118966579437,0.49322062730789185,0.9999999403953552,0.6549992561340332,0.7109930515289307,0.05126953125,0.006767600774765015,0.13200044631958008,0.039861228317022324,0.543915331363678,73.8601303100586,0.20223647356033325,0.5603039860725403,7.397939682006836,79.30476379394531,69.789794921875,1.659989356994629,10.529838562011719,0.0011265040375292301,12.625,19.626253128051758,0.6432710263744844,9.1875,0.46812297463885744,1.0573519468307495,0.7591770887374878,0.7762022018432617,0.7762022018432617,0.0,0.18746811151504517,0.004510718397796154,0.00022983084779695855,0.20662470161914825,0.11862514168024063,1.0,48
835,0.3513922691345215,0.4526571035385132,0.9999999403953552,1.6628966331481934,0.5084258913993835,0.0029296875,0.0004365040804259479,0.1489933878183365,0.009438314475119114,0.26083528995513916,551.720947265625,0.020013848319649696,0.2030934989452362,5.655332565307617,58.5,97.76055145263672,3.0646886825561523,10.505596160888672,0.0015609179390594363,24.854167938232422,34.967201232910156,0.7107851659495276,19.25,0.5505158924866219,1.6040576696395874,0.6988207101821899,0.7687408924102783,0.7687408924102783,0.0,0.3024630844593048,0.0067177144810557365,0.00019211473158486768,0.36117586493492126,0.01862417347729206,1.0,48
849,0.41135159134864807,0.5396222472190857,1.0,1.0726418495178223,0.6123852729797363,0.00390625,0.0006402861326932907,0.16391324996948242,0.012274607084691525,0.30583155155181885,463.8414306640625,0.02555946074426174,0.23645325005054474,6.067176818847656,76.875,102.89286041259766,3.0132973194122314,10.51217269897461,0.0014800253557041287,23.4375,42.556434631347656,0.5507392759173538,18.416667938232422,0.43275871424479867,1.724561095237732,0.5630398988723755,0.8210293650627136,0.8210293650627136,0.0,0.191836878657341,0.00880986824631691,0.0002070161262465648,0.22684170305728912,0.02731887437403202,1.0,48
