setting,target,control,predictor_set,cv_spearman_mean,cv_spearman_sd,oof_spearman,n_pred,n_defined_folds,controls
gemma_2_2b,collateral_ctilde,effect_only,frequency_only,0.5046116070205178,0.054664281772349235,0.47894882239741693,1,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,actmag_only,0.4958599611003057,0.04264713581503822,0.4873854153935043,1,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,geometry_only,0.41049180327868856,0.16106093110993563,0.42421582462027346,5,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,direct_logit_only,0.1129869408168936,0.09640620843293772,0.09688285425393615,4,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,coactivation_only,0.39578771881078084,0.10000356843089885,0.3846251625018055,2,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,full_no_magnitude,0.648257849402612,0.08258702444331327,0.6440853787264302,15,5,effect_l2
gemma_2_2b,collateral_ctilde,effect_only,full_all,0.6403445401500418,0.08487330510568976,0.6437658196202181,19,5,effect_l2
gemma_2_2b,kl_mean,none,frequency_only,0.077191864310181,0.10868037771623378,0.04251849429635688,1,5,
gemma_2_2b,kl_mean,none,actmag_only,0.22790775215337597,0.11189378625615314,0.1923408037867087,1,5,
gemma_2_2b,kl_mean,none,geometry_only,0.45676021116976945,0.10988092917894585,0.4520899121101345,5,5,
gemma_2_2b,kl_mean,none,direct_logit_only,0.49942761878299535,0.06111419074569239,0.48471249680552003,4,5,
gemma_2_2b,kl_mean,none,coactivation_only,-0.023762156154487363,0.09894125458393369,-0.08456449516105734,2,5,
gemma_2_2b,kl_mean,none,full_no_magnitude,0.5625229230341763,0.10911429914161357,0.5369637440416004,15,5,
gemma_2_2b,kl_mean,none,full_all,0.5370158377327037,0.10341011529087145,0.5061109567884087,19,5,
gemma_2_2b,kl_mean,primary,frequency_only,,,,1,0,"effect_l2,act_max,frequency"
gemma_2_2b,kl_mean,primary,actmag_only,-0.23443178660739097,0.25863602359044224,-0.2550063889598773,1,5,"effect_l2,act_max,frequency"
gemma_2_2b,kl_mean,primary,geometry_only,0.035465407057515975,0.09431390746829128,0.045305836731519236,5,5,"effect_l2,act_max,frequency"
gemma_2_2b,kl_mean,primary,direct_logit_only,0.09524868018894139,0.11129177458138659,0.07786708741208236,4,5,"effect_l2,act_max,frequency"
gemma_2_2b,kl_mean,primary,coactivation_only,0.21573770491803282,0.11694206910583986,0.20366537405971175,2,5,"effect_l2,act_max,frequency"
gemma_2_2b,kl_mean,primary,full_no_magnitude,0.23146429563767718,0.08087506246513855,0.23591506572295246,15,5,"effect_l2,act_max,frequency"
gemma_2_2b,kl_mean,primary,full_all,0.28260072242289536,0.1049853592242647,0.2826262514027934,19,5,"effect_l2,act_max,frequency"
gemma_2_2b,kl_mean,robust,frequency_only,,,,1,0,"frequency,act_max"
gemma_2_2b,kl_mean,robust,actmag_only,-0.3186329535982218,0.1876636179410684,-0.315518172424138,1,5,"frequency,act_max"
gemma_2_2b,kl_mean,robust,geometry_only,0.29111419838844127,0.13099164987583198,0.28928988099867775,5,5,"frequency,act_max"
gemma_2_2b,kl_mean,robust,direct_logit_only,0.4231286468463463,0.0718963603013681,0.41357259525105833,4,5,"frequency,act_max"
gemma_2_2b,kl_mean,robust,coactivation_only,0.3108752431230898,0.16612828989209794,0.31843998266647405,2,5,"frequency,act_max"
gemma_2_2b,kl_mean,robust,full_no_magnitude,0.5424951375382052,0.03462490045890355,0.5462642918254648,15,5,"frequency,act_max"
gemma_2_2b,kl_mean,robust,full_all,0.5854959711030843,0.11121043182639732,0.586748741652685,19,5,"frequency,act_max"
gemma_2_2b,kl_mean,effect_only,frequency_only,0.12851128762917344,0.17489741677749385,0.05696341718654984,1,5,effect_l2
gemma_2_2b,kl_mean,effect_only,actmag_only,0.10679633231453185,0.2116025672626432,0.052683696485516504,1,5,effect_l2
gemma_2_2b,kl_mean,effect_only,geometry_only,0.10983050847457629,0.17158842490328685,0.10172646362737363,5,5,effect_l2
gemma_2_2b,kl_mean,effect_only,direct_logit_only,0.09205890525145874,0.11049064828032566,0.09426326959188434,4,5,effect_l2
gemma_2_2b,kl_mean,effect_only,coactivation_only,0.17756043345373718,0.16148578547182205,0.167754752830587,2,5,effect_l2
gemma_2_2b,kl_mean,effect_only,full_no_magnitude,0.1410169491525424,0.1537024668075506,0.14481983133145923,15,5,effect_l2
gemma_2_2b,kl_mean,effect_only,full_all,0.1601333703806613,0.11354738853233762,0.16269114101267793,19,5,effect_l2
gemma_2_2b,kl_per_effect,none,frequency_only,0.14714564423725243,0.13664457287651885,0.02543295825220116,1,5,
gemma_2_2b,kl_per_effect,none,actmag_only,0.216371214226174,0.15770624008775536,0.09963755152835031,1,5,
gemma_2_2b,kl_per_effect,none,geometry_only,0.14143928869130312,0.1288162702373254,0.12347159412882364,5,5,
gemma_2_2b,kl_per_effect,none,direct_logit_only,0.33475965545985004,0.02416953593183513,0.307501638907099,4,5,
gemma_2_2b,kl_per_effect,none,coactivation_only,0.09158099472075579,0.08768706690680773,0.011607240080445336,2,5,
gemma_2_2b,kl_per_effect,none,full_no_magnitude,0.312164490136149,0.12779662648049608,0.2757443971599684,15,5,
gemma_2_2b,kl_per_effect,none,full_all,0.28461239233120317,0.12216104611307348,0.24669918554650602,19,5,
gemma_2_2b,kl_per_effect,primary,frequency_only,,,,1,0,"effect_l2,act_max,frequency"
gemma_2_2b,kl_per_effect,primary,actmag_only,0.013814948596832455,0.22308947576826277,0.020180668674096378,1,5,"effect_l2,act_max,frequency"
gemma_2_2b,kl_per_effect,primary,geometry_only,-0.002811892192275628,0.1406730223587976,0.015538839320436893,5,5,"effect_l2,act_max,frequency"
gemma_2_2b,kl_per_effect,primary,direct_logit_only,0.21890525145873863,0.07912400240006254,0.20507605640062668,4,5,"effect_l2,act_max,frequency"
gemma_2_2b,kl_per_effect,primary,coactivation_only,0.07475409836065575,0.04389601020202394,0.05741886020955789,2,5,"effect_l2,act_max,frequency"
gemma_2_2b,kl_per_effect,primary,full_no_magnitude,0.18511808835787724,0.09660468271914771,0.18589717663529595,15,5,"effect_l2,act_max,frequency"
gemma_2_2b,kl_per_effect,primary,full_all,0.21857182550708534,0.07165462907294858,0.2117912421249125,19,5,"effect_l2,act_max,frequency"
gemma_2_2b,kl_per_effect,robust,frequency_only,,,,1,0,"frequency,act_max"
gemma_2_2b,kl_per_effect,robust,actmag_only,-0.007879966657404836,0.20511203411525908,-0.002763586262069578,1,5,"frequency,act_max"
gemma_2_2b,kl_per_effect,robust,geometry_only,0.09115865518199502,0.11529641743769956,0.10245002722252469,5,5,"frequency,act_max"
gemma_2_2b,kl_per_effect,robust,direct_logit_only,0.3077188107807725,0.04053676810806417,0.2985570950788342,4,5,"frequency,act_max"
gemma_2_2b,kl_per_effect,robust,coactivation_only,0.09088080022228398,0.08314495044306221,0.07358748430538117,2,5,"frequency,act_max"
gemma_2_2b,kl_per_effect,robust,full_no_magnitude,0.28973603778827456,0.0691520600771518,0.27755775064167376,15,5,"frequency,act_max"
gemma_2_2b,kl_per_effect,robust,full_all,0.31185329258127265,0.07908505742909286,0.2905610062334026,19,5,"frequency,act_max"
gemma_2_2b,kl_per_effect,effect_only,frequency_only,0.16641861304889588,0.14079093764449604,0.07514191194903487,1,5,effect_l2
gemma_2_2b,kl_per_effect,effect_only,actmag_only,0.1847402056126702,0.17679460425513605,0.10434115934621495,1,5,effect_l2
gemma_2_2b,kl_per_effect,effect_only,geometry_only,0.03137538205056961,0.15119227300722424,0.03384482049800553,5,5,effect_l2
gemma_2_2b,kl_per_effect,effect_only,direct_logit_only,0.20621283689913872,0.08430789746313219,0.19757686196513294,4,5,effect_l2
gemma_2_2b,kl_per_effect,effect_only,coactivation_only,0.13754931925534872,0.10145137087233465,0.10574161935132612,2,5,effect_l2
gemma_2_2b,kl_per_effect,effect_only,full_no_magnitude,0.19422061683801056,0.1537582608185125,0.1880634229269214,15,5,effect_l2
gemma_2_2b,kl_per_effect,effect_only,full_all,0.16361211447624344,0.12990493307681925,0.16703918932432582,19,5,effect_l2
gemma_2_2b,collateral_raw_nodense,none,frequency_only,0.37015924942989564,0.09720354062695813,0.3572292789124716,1,5,
gemma_2_2b,collateral_raw_nodense,none,actmag_only,0.4966816035546051,0.09528459551470901,0.4724498486238557,1,5,
gemma_2_2b,collateral_raw_nodense,none,geometry_only,0.5533876532754615,0.11058833645818326,0.5422125797035732,5,5,
gemma_2_2b,collateral_raw_nodense,none,direct_logit_only,0.3343860276771715,0.0761226118950474,0.3164366420310843,4,5,
gemma_2_2b,collateral_raw_nodense,none,coactivation_only,0.23508143787131516,0.09918558883413066,0.22579749434661414,2,5,
gemma_2_2b,collateral_raw_nodense,none,full_no_magnitude,0.7386347760482953,0.036388322094016365,0.7401784076505789,15,5,
gemma_2_2b,collateral_raw_nodense,none,full_all,0.7523519710074118,0.052099907291537004,0.7511800896358916,19,5,
gemma_2_2b,collateral_raw_nodense,primary,frequency_only,,,,1,0,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_raw_nodense,primary,actmag_only,0.23154209502639628,0.1117390331837562,0.17545750508338978,1,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_raw_nodense,primary,geometry_only,0.39217560433453746,0.18541001892451878,0.41760864009600107,5,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_raw_nodense,primary,direct_logit_only,0.10691858849680466,0.14072139927310806,0.09638595984399827,4,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_raw_nodense,primary,coactivation_only,0.11442067240900251,0.10312534631140366,0.11849198324425828,2,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_raw_nodense,primary,full_no_magnitude,0.5121200333425953,0.12166614341611755,0.5316067956310625,15,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_raw_nodense,primary,full_all,0.5154209502639624,0.11633215578778149,0.5436789297658863,19,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_raw_nodense,robust,frequency_only,,,,1,0,"frequency,act_max"
gemma_2_2b,collateral_raw_nodense,robust,actmag_only,0.16803556543484305,0.11675049027164934,0.16046356070623005,1,5,"frequency,act_max"
gemma_2_2b,collateral_raw_nodense,robust,geometry_only,0.48477910530702983,0.14761688013049482,0.49448416093512143,5,5,"frequency,act_max"
gemma_2_2b,collateral_raw_nodense,robust,direct_logit_only,0.28581272575715483,0.11438460306632268,0.2707683418704652,4,5,"frequency,act_max"
gemma_2_2b,collateral_raw_nodense,robust,coactivation_only,0.06548485690469577,0.13981246153444563,0.07997599973333036,2,5,"frequency,act_max"
gemma_2_2b,collateral_raw_nodense,robust,full_no_magnitude,0.6377771603223119,0.09400599898909907,0.640562672918588,15,5,"frequency,act_max"
gemma_2_2b,collateral_raw_nodense,robust,full_all,0.6756210058349543,0.08348439126686079,0.6718159090656562,19,5,"frequency,act_max"
gemma_2_2b,collateral_raw_nodense,effect_only,frequency_only,0.4584572879891705,0.08645736740284234,0.41434380587582165,1,5,effect_l2
gemma_2_2b,collateral_raw_nodense,effect_only,actmag_only,0.49121422617393734,0.052044322348771724,0.4501387793197702,1,5,effect_l2
gemma_2_2b,collateral_raw_nodense,effect_only,geometry_only,0.3389941650458461,0.1839196993018951,0.3526936965966288,5,5,effect_l2
